Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at peak
7 Cannot handle non-empty timestamp argument!	5	" Touch Me "	49ers	3	14 Cannot handle non-empty timestamp argument!	1
7 Cannot handle non-empty timestamp argument!	3	" Got to Get "	Rob'n'Raz featuring Leila K	8	7 Cannot handle non-empty timestamp argument!	2
7 Cannot handle non-empty timestamp argument!	1	" Listen to Your Heart "	Sonia	10	7 Cannot handle non-empty timestamp argument!	1
14 Cannot handle non-empty timestamp argument!	5	" Tears on My Pillow "	Kylie Minogue	1	21 Cannot handle non-empty timestamp argument!	1
14 Cannot handle non-empty timestamp argument!	5	" Got to Have Your Love "	Mantronix	4	14 Cannot handle non-empty timestamp argument!	2
14 Cannot handle non-empty timestamp argument!	3	" You Make Me Feel (Mighty Real) "	Jimmy Somerville	5	14 Cannot handle non-empty timestamp argument!	1
14 Cannot handle non-empty timestamp argument!	2	" Put Your Hands Together "	D Mob featuring Nuff Juice	7	14 Cannot handle non-empty timestamp argument!	1
14 Cannot handle non-empty timestamp argument!	2	" Going Back to My Roots " / " Rich in Paradise "	FPI Project	9	21 Cannot handle non-empty timestamp argument!	1
21 Cannot handle non-empty timestamp argument!	8	" Nothing Compares to U " (#2)	Sinéad O'Connor	1	28 Cannot handle non-empty timestamp argument!	4
21 Cannot handle non-empty timestamp argument!	3	" Could Have Told You So "	Halo James	6	28 Cannot handle non-empty timestamp argument!	2
28 Cannot handle non-empty timestamp argument!	6	" Get Up! (Before the Night Is Over) "	Technotronic featuring Ya Kid K	2	4 Cannot handle non-empty timestamp argument!	2
28 Cannot handle non-empty timestamp argument!	4	" Happenin' All Over Again "	Lonnie Gordon	4	4 Cannot handle non-empty timestamp argument!	2
28 Cannot handle non-empty timestamp argument!	4	" I Wish It Would Rain Down "	Phil Collins	7	4 Cannot handle non-empty timestamp argument!	2
4 Cannot handle non-empty timestamp argument!	3	" Walk On By "	Sybil	6	11 Cannot handle non-empty timestamp argument!	1
4 Cannot handle non-empty timestamp argument!	1	" Instant Replay "	Yell!	10	4 Cannot handle non-empty timestamp argument!	1
11 Cannot handle non-empty timestamp argument!	8	" Dub Be Good to Me " (#7)	Beats International featuring Lindy Layton	1	25 Cannot handle non-empty timestamp argument!	4
11 Cannot handle non-empty timestamp argument!	4	" I Don't Know Anybody Else "	Black Box	4	18 Cannot handle non-empty timestamp argument!	1
11 Cannot handle non-empty timestamp argument!	2	" Live Together "	Lisa Stansfield	10	11 Cannot handle non-empty timestamp argument!	2
18 Cannot handle non-empty timestamp argument!	6	" How Am I Supposed to Live Without You "	Michael Bolton	3	25 Cannot handle non-empty timestamp argument!	3
18 Cannot handle non-empty timestamp argument!	3	" Enjoy the Silence "	Depeche Mode	6	18 Cannot handle non-empty timestamp argument!	3
25 Cannot handle non-empty timestamp argument!	4	" The Brits 1990 Dance Medley "	Various Artists	2	4 Cannot handle non-empty timestamp argument!	2
25 Cannot handle non-empty timestamp argument!	2	" Elephant Stone "	The Stone Roses Category:Articles with hCards	8	25 Cannot handle non-empty timestamp argument!	1
25 Cannot handle non-empty timestamp argument!	4	" Infinity (1990s... Time for the Guru) "	Guru Josh	5	4 Cannot handle non-empty timestamp argument!	2
25 Cannot handle non-empty timestamp argument!	1	" Downtown Train "	Rod Stewart	10	25 Cannot handle non-empty timestamp argument!	1
4 Cannot handle non-empty timestamp argument!	2	" Moments in Soul "	JT & the Big Family	7	11 Cannot handle non-empty timestamp argument!	1
11 Cannot handle non-empty timestamp argument!	3	" That Sounds Good to Me "	Jive Bunny and the Mastermixers	4	11 Cannot handle non-empty timestamp argument!	2
