Season	Premiere	Finale	Episodes	Timeslot	Rank	Viewers (in households)
Season 1	September 21, 1993	May 17, 1994	22	Tuesday 10:00 pm	#18	13.0
Season 2	October 11, 1994	May 23, 1995	22	Tuesday 10:00 pm	#7	15.7
Season 3	October 24, 1995	May 21, 1996	22	Tuesday 10:00 pm	#10	13.5
Season 4	October 15, 1996	May 20, 1997	22	Tuesday 10:00 pm	#13	12.1
Season 5	September 9, 1997	May 19, 1998	22	Tuesday 10:00 pm	#17	10.5
Season 6	October 20, 1998	May 25, 1999	22	Tuesday 10:00 pm	#12	10.4
Season 7	January 11, 2000	May 23, 2000	22	Tuesday 10:00 pm	#17	15.5
Season 8	January 9, 2001	May 22, 2001	20	Tuesday 10:00 pm	#23	16.2
Season 9	November 6, 2001	May 21, 2002	22	Tuesday 9:00 pm	#31	12.3
Season 10	September 24, 2002	May 20, 2003	22	Tuesday 10:00 pm	#34	11.3
Season 11	September 23, 2003	May 11, 2004	22	Tuesday 10:00 pm	#51	9.9
Season 12	September 21, 2004	March 1, 2005	20	Tuesday 10:00 pm	#42	10.1
