Game	Date	Opponent	Score	Location/Attendance	Record
70	March 1	@ St. Louis Hawks	120–95	Kiel Auditorium	47–23
71	March 2	New York Knickerbockers	140–104	Boston Garden	48–23
72	March 4	St. Louis Hawks	112–132	Providence, RI	48–24
73	March 5	@ Philadelphia 76ers	85–102	Convention Hall	48–25
74	March 6	Philadelphia 76ers	110–113	Boston Garden	48–26
75	March 7	St. Louis Hawks	106–104	Memphis, TN	49–26
76	March 10	@ Cincinnati Royals	124–120	Cincinnati Gardens	50–26
77	March 13	Baltimore Bullets	129–98	Boston Garden	51–26
78	March 17	@ Detroit Pistons	128–103	Cobo Arena	52–26
79	March 19	@ New York Knicks	126–113	Madison Square Garden	53–26
80	March 20	Cincinnati Royals	121–104	Boston Garden	54–26
