Draft	Round	Pick	Player	Nationality
1979	1	19	Jimmy Mann Category:Articles with hCards	Canada
1979	2	40	Dave Christian Category:Articles with hCards	United States
1979	3	61	Bill Whelton Category:Articles with hCards	United States
1979	4	82	Pat Daley Category:Articles with hCards	France
1979	5	103	Thomas Steen Category:Articles with hCards	Sweden
1979	6	124	Tim Watters Category:Articles with hCards	Canada
1980	1	2	Dave Babych Category:Articles with hCards	Canada
1980	2	23	Moe Mantha Category:Articles with hCards	Canada
1980	3	44	Murray Eaves Category:Articles with hCards	Canada
1980	4	65	Guy Fournier	Canada
1980	5	86	Glen Ostir	Canada
1980	6	107	Ron Loustel Category:Articles with hCards	Canada
1980	7	128	Brian Mullen Category:Articles with hCards	United States
1980	7	135	Michael Lauen Category:Articles with hCards	United States
1980	8	149	Sandy Beadle Category:Articles with hCards	Canada
1980	9	170	Ed Christian	United States
1980	10	191	Dave Chartier Category:Articles with hCards	Canada
1986	9	186	Mark Green Category:Articles with hCards	USA
1988	1	10	Teemu Selanne Category:Articles with hCards	Finland
1995	1	7	Shane Doan Category:Articles with hCards	Canada
