Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	6-5	Jae Sun Lee	Decision (unanimous)	Sengoku 10	3	5:00	Saitama , Japan
Win	5-5	Michael Costa	Submission (heel hook)	Sengoku 8	1	3:31	Tokyo , Japan
Loss	4-5	Frank Trigg	Decision (unanimous)	Sengoku 4	3	5:00	Saitama , Japan
Loss	4-4	Evangelista Santos	Submission (achilles lock)	Sengoku 1	1	4:51	Tokyo , Japan
Win	4-3	Murilo Bustamante	Decision (split)	Yarennoka!	2	5:00	Saitama , Japan
Win	3-3	Zelg Galešić	Submission (kimura)	Pride 34	1	5:40	Saitama , Japan
Loss	2-3	Gegard Mousasi	TKO (broken eye socket)	Pride Bushido 11	1	5:34	Saitama , Japan
Loss	2-2	Sanae Kikuta	Decision (unanimous)	Pride Shockwave 2005	3	5:00	Saitama , Japan
Win	2-1	Dong-Sik Yoon	Decision (unanimous)	Pride 30	3	5:00	Saitama , Japan
Loss	1-1	Kiyoshi Tamura	Decision (unanimous)	Pride Critical Countdown 2005	3	5:00	Saitama , Japan
Win	1-0	Henry Miller	Decision (unanimous)	Pride Shockwave 2004	3	5:00	Saitama , Japan
