Week	Date	Opponent	Result	TV Time	Attendance
1	September 8, 2002	New York Jets	L 37–31	CBS 1:00pm	72,751
2	September 15, 2002	at Minnesota Vikings	W 45–39	CBS 4:15pm	64,047
3	September 22, 2002	at Denver Broncos	L 28–23	CBS 4:15pm	75,359
4	September 29, 2002	Chicago Bears	W 33–27	FOX 1:00pm	72,780
5	October 6, 2002	Oakland Raiders	L 49–31	CBS 1:00pm	73,038
6	October 13, 2002	at Houston Texans	W 31–24	CBS 1:00pm	70,120
7	October 20, 2002	at Miami Dolphins	W 23–10	CBS 1:00pm	73,180
8	October 27, 2002	Detroit Lions	W 24–17	FOX 1:00pm	72,710
9	November 3, 2002	New England Patriots	L 38–7	CBS 1:00pm	73,448
10	Bye	Bye	Bye	Bye	Bye
11	November 17, 2002	at Kansas City Chiefs	L 17–16	CBS 1:00pm	77,951
12	November 24, 2002	at New York Jets	L 31–13	CBS 1:00pm	78,745
13	December 1, 2002	Miami Dolphins	W 38–21	CBS 1:00pm	73,287
14	December 8, 2002	at New England Patriots	L 27–17	CBS 1:00pm	68,436
15	December 15, 2002	San Diego Chargers	W 20–13	CBS 1:00pm	61,838
16	December 22, 2002	at Green Bay Packers	L 10–0	CBS 1:00pm	64,106
17	December 29, 2002	Cincinnati Bengals	W 27–9	CBS 1:00pm	47,850
