Week	Date	Opponent	Result	Attendance
1	September 19, 1971	at St. Louis Cardinals	W 24-17	46,805
2	September 26, 1971	at New York Giants	W 30-3	62,795
3	October 3, 1971	at Dallas Cowboys	W 20-16	61,554
4	October 10, 1971	Houston Oilers	W 22-13	53,041
5	October 17, 1971	St. Louis Cardinals	W 20-0	53,041
6	October 24, 1971	at Kansas City Chiefs	L 27-20	51,989
7	October 31, 1971	New Orleans Saints	W 24-14	53,041
8	November 7, 1971	Philadelphia Eagles	T 7-7	53,041
9	November 14, 1971	at Chicago Bears	L 16-15	55,049
10	November 21, 1971	Dallas Cowboys	L 13-0	53,041
11	November 28, 1971	at Philadelphia Eagles	W 20-13	65,358
12	December 5, 1971	New York Giants	W 23-7	53,041
13	December 13, 1971	at Los Angeles Rams	W 38-24	80,402
14	December 19, 1971	Cleveland Browns	L 20-13	53,041
