Pick	Round	Player	Position	School
22	1	Ray Snell	Guard	Wisconsin
49	2	Kevin House	Wide Receiver	Southern Illinois
76	3	Scot Brantley	Linebacker	Florida
102	4 (from Washington)	Larry Flowers	Defensive Back	Texas Tech
186	7	Jim Leonard	Guard	Santa Clara
213	8	Derrick Goddard	Defensive Back	Drake
240	9	Gerald Carter	Wide Receiver	Texas A&M
267	10	Andy Hawkins	Linebacker	Texas A&M-Kingsville
275	10 (from San Diego)	Brett Davis	Running Back	UNLV
299	11	Terry Jones	Defensive End	Central Oklahoma
326	12	Gene Coleman	Defensive Back	Miami (FL)
