Region	Population	Country	Language	N	Total%	R1b1c (R-V88)	R1b1a2 (R-M269)	R1b1c* (R-V88*)	R1b1c4 (R-V69)
N Africa	Composite	Morocco	AA	338	0.0%	0.3%	0.6%	0.3%	0.0%
N Africa	Mozabite Berbers	Algeria	AA/Berber	67	3.0%	3.0%	0.0%	3.0%	0.0%
N Africa	Northern Egyptians	Egypt	AA/Semitic	49	6.1%	4.1%	2.0%	4.1%	0.0%
N Africa	Berbers from Siwa	Egypt	AA/Berber	93	28.0%	26.9%	1.1%	23.7%	3.2%
N Africa	Baharia	Egypt	AA/Semitic	41	7.3%	4.9%	2.4%	0.0%	4.9%
N Africa	Gurna Oasis	Egypt	AA/Semitic	34	0.0%	0.0%	0.0%	0.0%	0.0%
N Africa	Southern Egyptians	Egypt	AA/Semitic	69	5.8%	5.8%	0.0%	2.9%	2.9%
C Africa	Songhai	Niger	NS/Songhai	10	0.0%	0.0%	0.0%	0.0%	0.0%
C Africa	Fulbe	Niger	NC/Atlantic	7	14.3%	14.3%	0.0%	14.3%	0.0%
C Africa	Tuareg	Niger	AA/Berber	22	4.5%	4.5%	0.0%	4.5%	0.0%
C Africa	Ngambai	Chad	NS/Sudanic	11	9.1%	9.1%	0.0%	9.1%	0.0%
C Africa	Hausa	Nigeria (North)	AA/Chadic	10	20.0%	20.0%	0.0%	20.0%	0.0%
C Africa	Fulbe	Nigeria (North)	NC/Atlantic	32	0.0%	0.0%	0.0%	0.0%	0.0%
C Africa	Yorubad	Nigeria (South)	NC/Defoid	21	4.8%	4.8%	0.0%	4.8%	0.0%
C Africa	Ouldeme	Cameroon (Nth)	AA/Chadic	22	95.5%	95.5%	0.0%	95.5%	0.0%
C Africa	Mada	Cameroon (Nth)	AA/Chadic	17	82.4%	82.4%	0.0%	76.5%	5.9%
C Africa	Mafa	Cameroon (Nth)	AA/Chadic	8	87.5%	87.5%	0.0%	25.0%	62.5%
C Africa	Guiziga	Cameroon (Nth)	AA/Chadic	9	77.8%	77.8%	0.0%	22.2%	55.6%
C Africa	Daba	Cameroon (Nth)	AA/Chadic	19	42.1%	42.1%	0.0%	36.8%	5.3%
C Africa	Guidar	Cameroon (Nth)	AA/Chadic	9	66.7%	66.7%	0.0%	22.2%	44.4%
C Africa	Massa	Cameroon (Nth)	AA/Chadic	7	28.6%	28.6%	0.0%	14.3%	14.3%
C Africa	Other Chadic	Cameroon (Nth)	AA/Chadic	4	75.0%	75.0%	0.0%	25.0%	50.0%
C Africa	Shuwa Arabs	Cameroon (Nth)	AA/Semitic	5	40.0%	40.0%	0.0%	40.0%	0.0%
C Africa	Kanuri	Cameroon (Nth)	NS/Saharan	7	14.3%	14.3%	0.0%	14.3%	0.0%
C Africa	Foulbe	Cameroon (Nth)	NC/Atlantic	18	11.1%	11.1%	0.0%	5.6%	5.6%
C Africa	Moundang	Cameroon (Nth)	NC/Adamawa	21	66.7%	66.7%	0.0%	14.3%	52.4%
C Africa	Fali	Cameroon (Nth)	NC/Adamawa	48	20.8%	20.8%	0.0%	10.4%	10.4%
C Africa	Tali	Cameroon (Nth)	NC/Adamawa	22	9.1%	9.1%	0.0%	4.5%	4.5%
C Africa	Mboum	Cameroon (Nth)	NC/Adamawa	9	0.0%	0.0%	0.0%	0.0%	0.0%
C Africa	Composite	Cameroon (Sth)	NC/Bantu	90	0.0%	1.1%	0.0%	1.1%	0.0%
C Africa	Biaka Pygmies	CAR	NC/Bantu	33	0.0%	0.0%	0.0%	0.0%	0.0%
