Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1969	Flemming Delfs	Anne Berglund	Keit Arthur Ray Stevens	Joke van Beusekom Marjan Luesken	Gert Perneklo Karin Lindqvist
1971	Rob Ridder	Anne Berglund	Peter Gardner John Stretch	Anne Berglund Lene Køppen	Peter Gardner Barbara Giles
1973	Jesper Helledie	Mette Myhre	Stefan Karlsson Willy Nilson	Ann Forest Kathleen Whiting	Jesper Helledie Susanne Johansen
1975	Bruno Wackfelt	Pia Nielsen	Bruno Wackfelt Goran Sterner	Lise Lotte Gottsche Lilli B. Pedersen	Tim Stokes Karen Puttick
1977	Andy Goode	Karen Bridge	Jesper Toftlund Niels Christensen	Karen Bridge Karen Puttick	Nigel Tier Karen Puttick
1979	Jens Peter Nierhoff	Kirsten Larsen	Peter Isaksson Jan Erik Antonsson	Sally Leadbeater Gillian Clark	Jens Peter Nierhoff Charlotte Pilgaard
1981	Michael Kjeldsen	Helen Troke	Michael Kjeldsen Mark Christiansen	Dorte Kjaer Nettie Nielsen	Dipak Tailor Mary Leeves
1983	Claus Thomsen	Helen Troke	Christopher Rees Lyndon Williams	Lisa Chapman Jane Shipman	Anders Nielsen Gitte Paulsen
1985	Matthew Smith	Lisbeth Stuer-Lauridsen	Jan Paulsen Lars Pedersen	Lisbeth Stuer-Lauridsen Lotte Olsen	Jan Paulsen Marian Christiansen
1987	Pontus Jantti	Helle Andersen	Michael Søgaard Jens Maibom	Catrine Bengtsson Margit Borg	Jens Maibom Charlotte Madsen
1989	Thomas Stuer-Lauridsen	Camilla Martin	Thomas Stuer-Lauridsen Christian Jacobsen	Marlene Thomsen Trine Johansson	Christian Jacobsen Marlene Thomsen
1991	Jürgen Koch	Lotte Thomsen	Martin L. Hansen Peter Christensen	Trine Pedersen Mette Pedersen	Peter Christensen Rikke Broen
1993	Jim Laugesen	Mette Sørensen	Jim Laugesen Janek Roos	Mette Sørensen Rikke Olsen	Thomas Stavnsgaard Sara Runesten
1995	Peter Gade	Brenda Beenhakker	Peter Gade Peder Nissen	Joanne Wright Donna Kellogg	Peder Nissen Mette Hansen
1997	Dicky Palyama	Judith Meulendijks	Kasper Ødum Ove Svejstrup	Lene Mork Jane Bramsen	Ove Svejstrup Britta Andersen
1999	Björn Joppien	Petra Overzier	Mathias Boe Kasper Kim Jensen	Petra Overzier Anne Honscheid	Mathias Boe Karina Sørensen
2001	Eric Pang	Juliane Schenk	Carsten Mogensen Rasmus Andersen	Kamila Augustyn Nadiezda Kostiuczyk	Rasmus Andersen Mette Nielsen
2003	Marc Zwiebler	Larisa Griga	Mikkel Delbo Larsen Martin Bille Larsen	Nina Vislova Valeria Sorokina	Marc Zwiebler Birgit Overzier
2005	Rajiv Ouseph	Janet Köhler	Rasmus Bonde Kasper Henriksen	Nina Vislova Olga Kozlova	Rasmus Bonde Christinna Pedersen
2007	Mads Conrad Petersen	Karina Jürgensen	Peter Mills Chris Adcock	Kristina Ludikova Olga Konon	Christian Larsen Joan Christiansen
2009	Emil Holst	Anne Hald	Sylvain Grosjean Sam Magee	Anastasia Chervyakova Romina Gabdullina	Jacco Arends Selena Piek
2011	Viktor Axelsen	Carolina Marín	Christopher Coles Matthew Nottingham	Mette Poulsen Ditte Strunge Larsen	Kim Astrup Sørensen Line Kjaersfeldt
