Player	Games Played	Field Goals	Three Pointers	Free Throws	Rebounds	Assists	Blocks	Steals	Points
Nick Anderson	36	262	24	99	285	72	32	57	647
Kenny Battle	36	218	9	151	174	64	13	89	596
Lowell Hamilton	36	219	0	50	204	24	31	21	488
Kendall Gill	24	143	38	46	70	91	6	51	370
Stephen Bardo	36	94	29	76	144	148	8	34	293
Larry Smith	36	66	3	40	73	157	5	28	175
P.J. Bowman	29	28	22	9	28	26	1	7	87
Ervin Small	36	26	0	27	76	5	0	10	77
Andy Kaufmann	12	16	5	14	20	8	1	5	51
Mike MacDonald	23	7	0	1	10	1	0	1	15
Brian O'Connell	4	1	0	2	3	0	0	0	4
