Year	Host city	Champion	Runner-up	Final
1966 Details	Madrid	Pallacanestro Varèse (Ignis)	SC Corinthians	66–59
1967 Details	Varese & Naples & Rome	Akron Goodyear Wingfoots	Pallacanestro Varèse (Ignis)	78–72
1968 Details	Philadelphia	Akron Goodyear Wingfoots	Real Madrid	105–73
1969 Details	Macon	Akron Goodyear Wingfoots	Spartak Brno	84–71
1970 Details	Varese	Pallacanestro Varèse (Ignis)	Real Madrid	League
1973 Details	São Paulo	Pallacanestro Varèse (Ignis)	EC Sírio	League
1974 Details	Mexico City	University of Maryland	Pallacanestro Varèse (Ignis)	League
1975 Details	Cantù	Pallacanestro Cantù (S.P.Birra Forst)	EC Amazonas Franca	League
1976 Details	Buenos Aires	Real Madrid	Pallacanestro Varèse (Mobilgirgi)	League
1977 Details	Madrid	Real Madrid	Pallacanestro Varèse (Mobilgirgi)	League
1978 Details	Buenos Aires	Real Madrid	Obras Sanitarias	League
1979 Details	São Paulo	EC Sírio	KK Bosna	League
1980 Details	Sarajevo	Maccabi Tel Aviv	AA Francana	League
1981 Details	São Paulo	Real Madrid	EC Sírio	109–83
1982 Details	Den Bosch	Pallacanestro Cantù (Ford)	Den Bosch EBBC	League
1983 Details	Buenos Aires	Obras Sanitarias	Pallacanestro Cantù (Jollycolombani)	League
1984 Details	São Paulo	Virtus Roma (Banco di Roma)	Obras Sanitarias	League
1985 Details	Barcelona & Girona	FC Barcelona	CA Monte Líbano	93–89
1986 Details	Buenos Aires	Žalgiris Kaunas	Ferro Carril Oeste	84–78
1987 Details	Milan	Olimpia Milano (Tracer)	FC Barcelona	100–84
1996 Details	Rosario & Athens	Panathinaikos	Olimpia Venado Tuerto	Playoff
2013 Details	Barueri , São Paulo	Olympiacos	EC Pinheiros (SKY)	Playoff
