Year	Network	Play-by-play	Color commentator(s)	Sideline reporter(s)
2000	ABC	Al Michaels	Boomer Esiason	Lesley Visser and Dan Fouts
2001	ABC	Al Michaels	Dan Fouts and Dennis Miller	Eric Dickerson and Melissa Stark
2002	ABC	Al Michaels	Dan Fouts and Dennis Miller	Eric Dickerson and Melissa Stark
2003	ABC	Al Michaels	Dan Fouts	Melissa Stark and Lynn Swann
2004	ESPN	Mike Patrick	Joe Theismann and Paul Maguire	Suzy Kolber and Chris Mortensen
2005	ESPN	Mike Patrick	Joe Theismann and Paul Maguire	Suzy Kolber and Michelle Tafoya
2006	ESPN	Mike Patrick	Joe Theismann and Paul Maguire	Suzy Kolber and Michelle Tafoya
2007	CBS	Greg Gumbel	Phil Simms and Dan Dierdorf	Shannon Sharpe
2008	Fox	Kenny Albert	Daryl Johnston	Tony Siragusa and Brian Baldinger
2009	NBC	Al Michaels	Cris Collinsworth	Andrea Kremer and Tiki Barber
