Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1956	Jose da Silva	Lezita Chaves	Jose da Silva Anibal Rebelo	no competition	Jose da Silva Guida de Freitas
1957	Jose da Silva	Lezita Chaves	Alberte Fernandes Ramiro Correia	Alzira de Sousa Josefina Praca dos Santos	Alberto Fernandes Lezita Chaves
1958	Joaquim Pereira	Lezita Chaves	Ramiro Cirreia Vitor Pinto Aves	no competition	Orlando Coelmo Lezita Chaves
1959	Ramiro Correia	Lezita Chaves	Ramiro Correia Jorge Gomez	no competition	Ramiro Correia Isabel Cabral
1960	Ramiro Correia	Isabel Cabral	Ramiro Correia Jorge Gomez	no competition	Orlando Correia Lezita Chaves
1961	no competition	no competition	Ramiro Correia Jorge Gomez	no competition	no competition
1962	no competition	no competition	Ramiro Correia Alegre Santos	no competition	Jorge Gomez Isabel Cabral
1963	Alegre Santos	Isabel Cabral	Rui Damasio Mario Mateus	Emilia Carneiro Maria Jose Guimaraes	Jose Azevedo Isabel Rocha
1964	Alegre Santos	Isabel Rocha	Fernando Pinto Vitor Pinto Alves	no competition	Alegre Santos Isabel Rocha
1965	Alegre Santos	no competition	Rui Damasio Mario Mateus	Isabel Pinto Isabel Rocha	Fernando Pinto Peggy Brixhe
1966	Jose Novais	Isabel Rocha	Fernando Pinto Vitor Da Costa	Conceicao Felizardo Isabel Rocha	Alegre Santos Isabel Rocha
1967	Alegre Santos	Isabel Rocha	Jose Bento Marques Costa	Conceicao Felizardo Isabel Rocha	Jose Azevedo Isabel Rocha
1968	Jose Bento	Peggy Brixhe	Rui Damasio Jose Azevedo	Peggy Brixhe Isabel Salema	Jose Azevedo Isabel Rocha
1969	Jose Bento	Peggy Brixhe	Alegre dos Santos Monge Dias	no competition	Jose Azevedo Isabel Rocha
1970	Jose Bento	Isabel Rocha	Jose Bento Marques Costa	no competition	Jose Bento Isabel Rocha
1971	no data	no data	Jose Bento Marques Costa	Peggy Brixhe Lavinia Pais	Pinto Alves Peggy Brixhe
1972	Jose Bento	Peggy Brixhe	Jose Bento Marques Costa	Isabel Rocha Isabel Pinto	Jose Bento Isabel Rocha
1973	Jose Bento	Isabel Rocha	Jose Bento Marques Costa	Isabel Rocha Isabel Pinto	Jose Bento Isabel Rocha
1974	Jose Bento	Isabel Rocha	Jose Bento Marques Costa	Margarida Cruz Isabel Cruz	Jose Bento Isabel Rocha
1975	Jose Bento	Isabel Rocha	Francisco Lemos Guilherme Trindade	Margarida Cruz Isabel Cruz	Jose Bento Isabel Rocha
1976	Luis Quinaz	Isabel Rocha	Jose Bento Marques Costa	Isabel Rocha Ana Margarida	Guilherme Trindade Isabel Rocha
1977	Joso Braz	Isabel Rocha	Jose Bento Cristiano Dias	Helena Sousa Serafina Brandao	Jorge Cruz Ana Monteiro
1978	Antonio Monge	Dias Anna Monteiro	Jose Bento Jorge Cruz	Margarida Cruz Isabel Cruz	Jorge Nogueira Teresa Lesl
1979	Jose Bento	Anna Monteiro	Jose Bento Jorge Cruz	Ana Monteiro Isabel Rocha	Jose Pessoa Isabel Rocha
1980	Jose Pessoa	Margarida Cruz	Jose Bento Marques da Costa	Ana Monteiro Isabel Rocha	Jose Bento Ana Monteiro
1981	Antonio Crespo	Margarida Cruz	Antonio Crespo Jorge Cruz	Margerida Cruz Isabel Crespo	Jose Bento Ana Monteiro
1982	José Pedro	Margarida Cruz	Diamantino Pereira Jorge Azevedo	Ana Monteiro Catarina Batista	Jorge Cruz Margarida Cruz
1983	Antonio Crespo	Margarida Cruz	Diamantino Pereira Jorge Azevedo	Ana Monteiro Catarina Batista	Jorge Cruz Margarida Cruz
1984	Jorge Azevedo	Ana Monteiro	Diamantino Pereira Jorge Azevedo	Ana Monteiro Catarina Batista	Jose Brandao Rosaria Cavaco
1985	Jose Brandao	Rosario Cavaco	Paulo Raimundo Carlos Teixeira	Rosario Cavaco Margarida Cruz	Jose Nascimento Paula Sousa
1986	Jorge Santos	Margarida Cruz	Paulo Raimundo Jose Brandao	Paula Sousa Margarida Cruz	Jose Nascimento Paula Sousa
