Date Released	Institute	Socialist	Social Democratic	Green-Communist	Left Bloc	Peoples Party	Lead
7 June 2009	Election Results	26.5% 7 seats	31.7% 8 seats	10.6% 2 seats	10.7% 3 seats	8.4% 2 seats	5.2%
7 June 2009	Exit Poll – RTP1 Universidade Católica	28.0% – 33.0% 7 – 8 seats	29.0% – 34.0% 8 – 9 seats	9.0% – 12.0% 2 – 3 seats	9.0% – 12.0% 2 seats	7.0% – 10.0% 2 seats	1.0%
7 June 2009	Exit Poll – SIC Eurosondagem	27.7% – 31.5% 7 – 8 seats	29.2% – 33.0% 7 – 8 seats	9.5% – 11.3% 2 – 3 seats	11.6% – 13.4% 3 seats	7.5% – 9.3% 2 seats	1.5%
7 June 2009	Exit Poll – TVI INTERCAMPUS	24.1% – 28.1% 6 – 8 seats	30.4% – 34.4% 8 – 9 seats	9.7% – 12.7% 2 – 3 seats	9.8% – 12.8% 2 – 3 seats	6.7% – 9.3% 1 – 2 seats	6.3%
5 June 2009	Universidade Católica	34.0%	32.0%	11.0%	9.0%	4.0%	2.0%
5 June 2009	Eurosondagem	36.0%	31.9%	9.0%	10.1%	6.1%	4.1%
4 June 2009	Aximage	36.2%	30.9%	10.1%	10.2%	5.0%	5.3%
4 June 2009	Marktest	29.4%	32.5%	8.9%	8.9%	3.3%	3.1%
1 June 2009	Marktest	31.9%	30.1%	7.1%	7.1%	4.7%	1.8%
29 May 2009	Eurosondagem	35.5%	32.5%	9.2%	8.8%	6.5%	3.0%
22 May 2009	Eurosondagem	34.3%	32.1%	8.9%	10.1%	6.9%	2.2%
9 May 2009	Marktest	33.1%	32.9%	7.6%	8.4%	4.5%	0.2%
1 May 2009	Universidade Católica	39.0%	36.0%	7.0%	12.0%	2.0%	3.0%
24 April 2009	INTERCAMPUS	34.0%	33.5%	7.9%	18.0%	6.9%	0.5%
13 June 2004	Election Results	44.5% 12 seats	33.3% 7 seats	9.1% 2 seats	4.9% 1 seats	—* 2 seats	11.2%
