Place	Player	Country	Score	To par
T1	Russ Cochran	United States	68-72-65=205	–11
T2	Mark Brooks	United States	68-70-69=207	–9
T2	Vijay Singh	Fiji	69-69-69=207	–9
T4	Steve Elkington	Australia	67-74-67=208	–8
T4	Phil Mickelson	United States	67-67-74=208	–8
T4	Nick Price	Zimbabwe	69-71-69=208	–8
T7	Mike Brisky	United States	71-69-69=209	–7
T7	Justin Leonard	United States	71-66-72=209	–7
T7	Greg Norman	Australia	68-72-69=209	–7
T7	Jesper Parnevik	Sweden	73-67-69=209	–7
T7	Kenny Perry	United States	66-72-71=209	–7
