Team	CF appearances	CF wins	Cup wins	Last CF
Detroit Red Wings	10	6	4	2009
Chicago Blackhawks	10	3	2	2013
Edmonton Oilers	9	7	5	2006
Philadelphia Flyers	9	4	2	2010
Colorado Avalanche	8	2	2	2002
New Jersey Devils	7	5	3	2012
Boston Bruins	7	4	1	2013
Pittsburgh Penguins	7	4	3	2013
Dallas Stars	6	3	1	2008
Montreal Canadiens	6	3	2	2010
New York Islanders	4	3	2	1993
Buffalo Sabres	4	1	0	2007
New York Rangers	4	1	1	2012
Toronto Maple Leafs	4	0	0	2002
Calgary Flames	3	3	1	2004
Vancouver Canucks	3	3	0	2011
Anaheim Ducks	3	2	1	2007
Carolina Hurricanes	3	2	1	2009
Los Angeles Kings	3	2	1	2013
San Jose Sharks	3	0	0	2011
Ottawa Senators	2	1	0	2007
Tampa Bay Lightning	2	1	1	2011
Washington Capitals	2	1	0	1998
St. Louis Blues	2	0	0	2001
Florida Panthers	1	1	0	1996
Minnesota Wild	1	0	0	2003
Phoenix Coyotes	1	0	0	2012
