Week of	Tier	Winner	Runner-up	Semi finalists
6 February	Tier II	Magdalena Maleeva 7–5, 7–6	Lisa Raymond	Zina Garrison-Jackson Gabriela Sabatini
6 February	Tier II	Gabriela Sabatini Brenda Schultz 5–7, 7–6, 6–4	Tami Whitlinger Jones Marianne Werdel	Zina Garrison-Jackson Gabriela Sabatini
13 February	Tier III	Brenda Schultz 6–1, 6–2	Elena Likhovtseva	Patty Fendick Amy Frazier
13 February	Tier III	Nicole Arendt Laura Golarsa 6–4, 6–3	Katrina Adams Brenda Schultz	Patty Fendick Amy Frazier
14 February	Tier II	Steffi Graf 6–2, 6–2	Mary Pierce	Jana Novotná Iva Majoli
14 February	Tier II	Meredith McGrath Larisa Savchenko 6–4, 6–1	Manon Bollegraf Rennae Stubbs	Jana Novotná Iva Majoli
20 February	Tier III	Jana Novotná 6–7, 6–3, 6–4	Barbara Rittner	Meike Babel Beate Reinstadler
20 February	Tier III	Meredith McGrath Nathalie Tauziat 6–1, 6–2	Iva Majoli Petra Schwarz	Meike Babel Beate Reinstadler
27 February	Tier II	Mary Joe Fernández 6–4, 6–3	Natasha Zvereva	Arantxa Sánchez Vicario Naoko Sawamatsu
27 February	Tier II	Lindsay Davenport Lisa Raymond 2–6, 6–4, 6–3	Larisa Savchenko Arantxa Sánchez Vicario	Arantxa Sánchez Vicario Naoko Sawamatsu
27 February	Tier III	Joannette Kruger 7–6, 6–3	Kyōko Nagatsuka	Gigi Fernández Florencia Labat
27 February	Tier III	Karin Kschwendt Rene Simpson 6–2, 0–6, 6–4	Laura Golarsa Linda Harvey-Wild	Gigi Fernández Florencia Labat
