Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2005	Italian Formula Junior 1600 – Winter Series	Tomcat Racing	4	0	0	0	0	9	13th
2006	Italian Formula Junior 1600	Emmegi Promotion	12	0	0	0	1	50	12th
2006	Italian Formula Renault 2.0 – Winter Series	RP Motorsport	4	0	0	0	0	14	15th
2007	Italian Formula Renault 2.0	RP Motorsport	14	0	0	0	0	0	NC
2008	German Formula Three Championship	Ombra Racing	17	0	0	0	1	23	9th
2008	British Formula Three Championship	Ombra Racing	2	0	0	0	0	0	NC†
2009	Formula Renault 3.5 Series	Pons Racing	17	0	0	0	0	8	21st
2010	Formula Renault 3.5 Series	Pons Racing	17	0	0	0	0	16	17th
2010	Auto GP	Trident Racing	4	0	0	0	0	6	16th
2010	Le Mans Series – LMP2	Racing Box	2	0	0	0	0	13	17th
2010	GP2 Series	Trident Racing	2	0	0	0	0	0	32nd
