Place	Player	Country	Score	To par	Money ( $ )
1	Ben Crenshaw	United States	67-72-70-68=277	–11	108,000
2	Tom Watson	United States	74-67-69-69=279	–9	64,800
T3	David Edwards	United States	71-70-72-67=280	–8	34,800
T3	Gil Morgan	United States	73-71-69-67=280	–8	34,800
5	Larry Nelson	United States	76-69-66-70=281	–7	24,000
T6	Ronnie Black	United States	71-74-69-68=282	–6	19,425
T6	David Graham	Australia	69-70-70-73=282	–6	19,425
T6	Tom Kite	United States	70-68-69-75=282	–6	19,425
T6	Mark Lye	United States	69-66-73-74=282	–6	19,425
10	Fred Couples	United States	71-73-67-72=283	–5	16,200
