Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	13-4	Jessica Andrade	Decision (unanimous)	UFC Fight Night: Machida vs. Munoz	3	5:00	Manchester , England
Loss	13-3	Alexis Davis	Decision (unanimous)	UFC 161	3	5:00	Winnipeg, Manitoba , Canada
Win	13-2	Aisling Daly	Decision (unanimous)	Cage Warriors Fighting Championship 47	3	5:00	Dublin , Ireland
Win	12-2	Roxanne Modafferi	Decision (unanimous)	Cage Warriors Fighting Championship 40	3	5:00	North London , England
Win	11-2	Sally Krumdiack	TKO (punches)	Cage Warriors Fighting Championship 39	2	4:07	Cork , Ireland
Loss	10-2	Zoila Frausto Gurgel	KO (knee and punches)	Bellator 23	1	2:00	Louisville, Kentucky , United States
Win	10-1	Valerie Coolbaugh	Submission (armbar)	Bellator 12	1	3:40	Hollywood, Florida , United States
Win	9-1	Debi Purcell	Decision (split)	ShoXC : Suganuma vs. Hamman II	3	3:00	Friant, California , United States
Win	8-1	Julia Berezikova	Submission (armbar)	BodogFight - Vancouver	2	1:49	Vancouver, British Columbia , Canada
Win	7-1	Tomomi Sunaba	Technical Decision (unanimous)	BodogFight - Costa Rica	2	1:05	San José , Costa Rica
Win	6-1	Carina Damm	Submission (armbar)	BodogFight - St. Petersburg	1	4:15	Saint Petersburg , Russia
Loss	5-1	Gina Carano	KO (punch)	World Pro Fighting Championships	2	4:55	Las Vegas, Nevada , United States
Win	5-0	Dina Van den Hooven	TKO (corner stoppage)	CWFC - Strike Force 4	3	5:00	English Midlands , England
Win	4-0	Kelli Salone	Submission (armbar)	P & G 1 - Pride and Glory 1	1	3:45	Cardiff , Wales
Win	3-0	Carla O'Sullivan	Submission (rear-naked choke)	CWFC 3 - Cage Warriors 3	1	N/A	Hampshire , England
Win	2-0	Serena Saunders	Submission (armbar)	CWFC 1 - Armageddon	1	0:40	London , England
Win	1-0	Angela Boyce	Submission (armbar)	G & S 5 - Grapple & Strike 5	3	N/A	Worcester , England
