Week	Date	Opponent	Result	Attendance
1	September 19, 1971	at New England Patriots	L 20–6	55,405
2	September 26, 1971	at San Diego Chargers	W 34–0	54,084
3	October 4, 1971	at Cleveland Browns	W 34–20	84,285
4	October 10, 1971	at Denver Broncos	W 27–16	51,200
5	October 17, 1971	Philadelphia Eagles	W 34–10	54,615
6	October 24, 1971	Cincinnati Bengals	W 31–27	54,699
7	October 31, 1971	Kansas City Chiefs	T 20–20	54,715
8	November 7, 1971	at New Orleans Saints	T 21–21	83,102
9	November 14, 1971	Houston Oilers	W 41–21	54,705
10	November 21, 1971	San Diego Chargers	W 34–33	54,681
11	November 28, 1971	Baltimore Colts	L 37–14	54,689
12	December 5, 1971	at Atlanta Falcons	L 24–13	58,850
13	December 12, 1971	at Kansas City Chiefs	L 16–14	51,215
14	December 19, 1971	Denver Broncos	W 21–13	54,651
