Year	Division	League	Regular Season	Playoffs	Open Cup
1989/90	N/A	SISL Indoor	4th, Cactus	Did not qualify	N/A
1990/91	N/A	SISL Indoor	8th, Southwest	Did not qualify	N/A
1991	N/A	SISL	2nd, Southwest	Semifinals	Did not enter
1992	N/A	USISL	1st, Southwest	Did not qualify	Did not enter
1993	N/A	USISL	6th, Atlantic	Sizzling Six	Did not enter
1994	3	USISL	2nd, Southwest	Divisional Semifinals	Did not enter
1995	3	USISL Pro League	1st, South Central	Divisional Finals	Final
1996	3	USISL Select League	3rd, Pacific	1st Round	2nd Round
1997	2	USISL A-League	6th, Pacific	Did not qualify	Did not qualify
1998	2	USISL A-League	6th, Central	Did not qualify	3rd Round
1999	2	USL A-League	5th, Pacific	Conference Quarterfinals	Did not qualify
2000	2	USL A-League	4th, Pacific	Conference Quarterfinals	Did not qualify
2001	2	USL A-League	7th, Western	Did not qualify	3rd Round
2002	2	USL A-League	2nd, Pacific	1st Round	Did not qualify
2003	2	USL A-League	3rd, Central	Did not qualify	3rd Round
2004	4	USL PDL	1st, Mid South	Conference Semifinals	Did not qualify
2005	4	USL PDL	1st, Mid South	National Final	2nd Round
2006	4	USL PDL	3rd, Mid South	Did not qualify	Did not qualify
2007	4	USL PDL	2nd, Mid South	Conference Semifinals	2nd Round
2008	4	USL PDL	3rd, Mid South	Did not qualify	Did not qualify
2009	4	USL PDL	4th, Mid South	Did not qualify	2nd Round
2010	4	USL PDL	5th, Mid South	Did not qualify	Did not qualify
2011	4	USL PDL	2nd, Mid South	Conference Semifinals	1st Round
2012	4	USL PDL	3rd, Mid South	Did not qualify	2nd Round
