Location	Year	Champion	Runner-up	Score	Name
Indian Wells	1989	Manuela Maleeva	Jenny Byrne	6–4, 6–1	Virginia Slims of Indian Wells
Indian Wells	1990	Martina Navratilova	Helena Suková	6–2, 5–7, 6–1	Virginia Slims of Indian Wells
Indian Wells	1991	Martina Navratilova	Monica Seles	6–2, 7–6 (8–6)	Virginia Slims of Palm Springs
Indian Wells	1992	Monica Seles	Conchita Martínez	6–3, 6–1	Matrix Essentials Evert Cup
Indian Wells	1993	Mary Joe Fernández	Amanda Coetzer	3–6, 6–1, 7–6 (8–6)	Matrix Essentials Evert Cup
Indian Wells	1994	Steffi Graf	Amanda Coetzer	6–0, 6–4	Evert Cup
Indian Wells	1995	Mary Joe Fernández	Natasha Zvereva	6–4, 6–3	State Farm Evert Cup
Indian Wells	↓ Tier I tournament ↓	↓ Tier I tournament ↓	↓ Tier I tournament ↓	↓ Tier I tournament ↓	State Farm Evert Cup
Indian Wells	1996	Steffi Graf	Conchita Martínez	7–6 (7–5) , 7–6 (7–5)	State Farm Evert Cup
Indian Wells	1997	Lindsay Davenport	Irina Spîrlea	6–2, 6–1	State Farm Evert Cup
Indian Wells	1998	Martina Hingis	Lindsay Davenport	6–3, 6–4	State Farm Evert Cup
Indian Wells	1999	Serena Williams	Steffi Graf	6–3, 3–6, 7–5	Evert Cup (II)
Indian Wells	2000	Lindsay Davenport	Martina Hingis	4–6, 6–4, 6–0	TMS Indian Wells
Indian Wells	2001	Serena Williams	Kim Clijsters	4–6, 6–4, 6–2	TMS Indian Wells
Indian Wells	2002	Daniela Hantuchová	Martina Hingis	6–3, 6–4	Pacific Life Open
Indian Wells	2003	Kim Clijsters	Lindsay Davenport	6–4, 7–5	Pacific Life Open
Indian Wells	2004	Justine Henin	Lindsay Davenport	6–1, 6–4	Pacific Life Open
Indian Wells	2005	Kim Clijsters	Lindsay Davenport	6–4, 4–6, 6–2	Pacific Life Open
Indian Wells	2006	Maria Sharapova	Elena Dementieva	6–1, 6–2	Pacific Life Open
Indian Wells	2007	Daniela Hantuchová	Svetlana Kuznetsova	6–3, 6–4	Pacific Life Open
Indian Wells	2008	Ana Ivanovic	Svetlana Kuznetsova	6–4, 6–3	Pacific Life Open
Indian Wells	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓	↓ Premier Mandatory tournament ↓
Indian Wells	2009	Vera Zvonareva	Ana Ivanovic	7–6 (7–5) , 6–2	BNP Paribas Open
Indian Wells	2010	Jelena Janković	Caroline Wozniacki	6–2, 6–4	BNP Paribas Open
Indian Wells	2011	Caroline Wozniacki	Marion Bartoli	6–1, 2–6, 6–3	BNP Paribas Open
Indian Wells	2012	Victoria Azarenka	Maria Sharapova	6–2, 6–3	BNP Paribas Open
Indian Wells	2013	Maria Sharapova	Caroline Wozniacki	6–2, 6–2	BNP Paribas Open
