Expedition	Crew	Launch date	Flight up	Landing date	Flight down	Duration (days)
Salyut 6 - EO-1	Yuri Romanenko , Georgi Grechko	10 December 1977 01:18:40	Soyuz 26	16 March 1978 11:18:47	Soyuz 27	96.42
Salyut 6 - EP-1	Vladimir Dzhanibekov , Oleg Makarov	10 January 1978 12:26:00	Soyuz 27	16 January 1978 11:24:58	Soyuz 26	5.96
Salyut 6 - EP-2	Aleksei Gubarev , Vladimír Remek - Czechoslovakia	2 March 1978 15:28:00	Soyuz 28	10 March 1978 13:44:00	Soyuz 28	7.93
Salyut 6 - EO-2	Vladimir Kovalyonok , Aleksandr Ivanchenkov	15 June 1978 20:16:45	Soyuz 29	2 November 1978 11:04:17	Soyuz 31	139.62
Salyut 6 - EP-3	Pyotr Klimuk , Miroslaw Hermaszewski - Poland	27 June 1978 15:27:21	Soyuz 30	5 July 1978 13:30:20	Soyuz 30	7.92
Salyut 6 - EO-3	Vladimir Lyakhov , Valery Ryumin	25 February 1979 11:53:49	Soyuz 32	19 August 1979 12:29:26	Soyuz 34	175.02
Salyut 6 - EO-4	Leonid Popov , Valery Ryumin	9 April 1980 13:38:22	Soyuz 35	11 October 1980 09:49:57	Soyuz 37	184.84
Salyut 6 - EP-5	Valery Kubasov , Bertalan Farkas - Hungary	26 May 1980 18:20:39	Soyuz 36	3 June 1980 15:06:23	Soyuz 35	7.87
Salyut 6 - EP-6	Yuri Malyshev , Vladimir Aksyonov	5 June 1980 14:19:30	Soyuz T-2	9 June 1980 12:39:00	Soyuz T-2	3.93
Salyut 6 - EP-7	Viktor Gorbatko , Pham Tuan - Vietnam	23 July 1980 18:33:03	Soyuz 37	31 July 1980 15:15:02	Soyuz 36	7.86
Salyut 6 - EP-8	Yuri Romanenko , Arnaldo Tamayo Méndez - Cuba	18 September 1980 19:11:03	Soyuz 38	26 September 1980 15:54:27	Soyuz 38	7.86
Salyut 6 - EO-5	Leonid Kizim , Oleg Makarov Gennady Strekalov	27 November 1980 14:18:28	Soyuz T-3	10 December 1980 09:26:10	Soyuz T-3	12.80
Salyut 6 - EO-6	Vladimir Kovalyonok , Viktor Savinykh	12 March 1981 19:00:11	Soyuz T-4	26 May 1981 12:37:34	Soyuz T-4	74.73
