Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Brian Lara (captain)	2 May 1969	Left hand bat	Right arm leg break Googly	Trinidad and Tobago
Keith Arthurton	21 February 1965	Left hand bat	Left arm orthodox spin	Leeward Islands
Shivnarine Chanderpaul	16 August 1974	Left hand bat	Right arm leg break	Guyana
Mervyn Dillon	5 June 1974	Right hand bat	Right arm fast-medium	Trinidad and Tobago
Carl Hooper	15 December 1966	Right hand bat	Right arm off break	Guyana
Ridley Jacobs (wicket-keeper)	26 November 1967	Left hand bat	Wicket-keeper	Leeward Islands
Reon King	6 October 1975	Right hand bat	Right arm fast-medium	Guyana
Clayton Lambert	10 February 1962	Left hand bat	Right arm off break	Guyana
Rawl Lewis	5 September 1974	Right hand bat	Right arm leg break Googly	Windward Islands
Nixon McLean	20 July 1973	Left hand bat	Right arm fast	Windward Islands
Neil McGarrell	12 July 1972	Right hand bat	Left arm orthodox spin	Guyana
Phil Simmons	18 April 1963	Right hand bat	Right arm medium	Trinidad and Tobago
Philo Wallace	2 August 1970	Right hand bat	Right arm medium	Barbados
Stuart Williams	12 August 1969	Right hand bat	Right arm medium	Leeward Islands
Source:	Source:	Source:	Source:	Source:
