Season	Skip	Third	Second	Lead
2003–04	Pete Fenson	Eric Fenson	Shawn Rojeski	John Shuster
2004–05	Pete Fenson	Eric Fenson	Shawn Rojeski	John Shuster
2005–06	Pete Fenson	Shawn Rojeski	Joe Polo	Doug Pottinger
2005–06	Pete Fenson	Shawn Rojeski	Joe Polo	John Shuster
2006–07	Pete Fenson	Shawn Rojeski	Joe Polo	John Shuster
2009–10	Pete Fenson	Shawn Rojeski	Joe Polo	Tyler George
2010–11	Pete Fenson	Shawn Rojeski	Joe Polo	Ryan Brunt
2011–12	Pete Fenson	Shawn Rojeski	Joe Polo	Ryan Brunt
2012–13	Pete Fenson	Shawn Rojeski	Joe Polo	Ryan Brunt
2013–14	Pete Fenson	Shawn Rojeski	Joe Polo	Ryan Brunt
