Season	Winner	Team	Position	Win #
1923–24	Frank Nighbor Category:Articles with hCards	Ottawa Senators	C	1
1924–25	Billy Burch Category:Articles with hCards	Hamilton Tigers	C	1
1925–26	Nels Stewart Category:Articles with hCards	Montreal Maroons	C	1
1926–27	Herb Gardiner Category:Articles with hCards	Montreal Canadiens	D	1
1927–28	Howie Morenz Category:Articles with hCards	Montreal Canadiens	C	1
1928–29	Roy "Shrimp" Worters Category:Articles with hCards	New York Americans	G	1
1929–30	Nels Stewart Category:Articles with hCards	Montreal Maroons	C	2
1930–31	Howie Morenz Category:Articles with hCards	Montreal Canadiens	C	2
1931–32	Howie Morenz Category:Articles with hCards	Montreal Canadiens	C	3
1932–33	Eddie Shore Category:Articles with hCards	Boston Bruins	D	1
1933–34	Aurele Joliat Category:Articles with hCards	Montreal Canadiens	LW	1
1934–35	Eddie Shore Category:Articles with hCards	Boston Bruins	D	2
1935–36	Eddie Shore Category:Articles with hCards	Boston Bruins	D	3
1936–37	Babe Siebert Category:Articles with hCards	Montreal Canadiens	D	1
1937–38	Eddie Shore Category:Articles with hCards	Boston Bruins	D	4
1938–39	Toe Blake Category:Articles with hCards	Montreal Canadiens	LW	1
1939–40	Ebbie Goodfellow Category:Articles with hCards	Detroit Red Wings	D	1
