Game	Date	Opponent	Result	Falcons points	Opponents	Record	Attendance
1	Sept. 3	Houston Oilers	Win	20	14	1-0	57,328
2	Sept. 10	at Los Angeles Rams	Loss	0	10	1-1	46,201
3	Sept. 17	Cleveland Browns	Loss	16	24	1-2	56,648
4	Sept. 24	at Tampa Bay Buccaneers	Loss	9	14	1-3	58,073
5	Oct. 1	New York Giants	Win	23	20	2-3	47,765
6	Oct. 8	at Pittsburgh Steelers	Loss	7	31	2-4	48,202
7	Oct. 15	Detroit Lions	Win	14	0	3-4	51,172
8	Oct. 22	at San Francisco 49ers	Win	20	17	4-4	44,235
9	Oct. 30	Los Angeles Rams	Win	15	7	5-4	57,250
10	Nov. 5	San Francisco 49ers	Win	21	10	6-4	55,468
11	Nov. 12	at New Orleans Saints	Win	20	17	7-4	70,323
12	Nov. 19	at Chicago Bears	Loss	7	13	7-5	46,022
13	Nov. 26	New Orleans Saints	Win	20	17	8-5	55,121
14	Dec. 3	at Cincinnati Bengals	Loss	7	37	8-6	25,336
15	Dec. 10	Washington Redskins	Win	20	17	9-6	54,176
16	Dec. 17	at St. Louis Cardinals	Loss	21	42	9-7	40,022
