Constructor	Chassis	Engine	Tyres	Driver	Rounds
Lotus - Ford	79 80	Ford Cosworth DFV 3.0 V8	G	Mario Andretti	All
Lotus - Ford	79 80	Ford Cosworth DFV 3.0 V8	G	Carlos Reutemann	All
Tyrrell - Ford	009	Ford Cosworth DFV 3.0 V8	G	Didier Pironi	All
Tyrrell - Ford	009	Ford Cosworth DFV 3.0 V8	G	Jean-Pierre Jarier	1-9, 12-15
Tyrrell - Ford	009	Ford Cosworth DFV 3.0 V8	G	Geoff Lees	10
Tyrrell - Ford	009	Ford Cosworth DFV 3.0 V8	G	Derek Daly	11
Tyrrell - Ford	009	Ford Cosworth DFV 3.0 V8	G	Derek Daly	14-15
Brabham - Alfa Romeo	BT46 BT48	Alfa Romeo 115-12 3.0 F12 Alfa Romeo 1260 3.0 V12	G	Niki Lauda	1-13
Brabham - Alfa Romeo	BT46 BT48	Alfa Romeo 115-12 3.0 F12 Alfa Romeo 1260 3.0 V12	G	Nelson Piquet	1-13
Brabham - Ford	BT49	Ford Cosworth DFV 3.0 V8	G	Ricardo Zunino	14-15
Brabham - Ford	BT49	Ford Cosworth DFV 3.0 V8	G	Nelson Piquet	14-15
McLaren - Ford	M26 M28 M28B M28C M29	Ford Cosworth DFV 3.0 V8	G	John Watson	All
McLaren - Ford	M26 M28 M28B M28C M29	Ford Cosworth DFV 3.0 V8	G	Patrick Tambay	All
ATS - Ford	D2 D3	Ford Cosworth DFV 3.0 V8	G	Hans-Joachim Stuck	All
Ferrari	312T3 312T4 312T4B	Ferrari 015 3.0 F12	M	Jody Scheckter	All
Ferrari	312T3 312T4 312T4B	Ferrari 015 3.0 F12	M	Gilles Villeneuve	All
Fittipaldi - Ford	F5A F6 F6A	Ford Cosworth DFV 3.0 V8	G	Emerson Fittipaldi	All
Fittipaldi - Ford	F5A F6 F6A	Ford Cosworth DFV 3.0 V8	G	Alex Ribeiro	14-15
Renault	RS01 RS10	Renault-Gordini EF1 1.5 V6 t	M	Jean-Pierre Jabouille	All
Renault	RS01 RS10	Renault-Gordini EF1 1.5 V6 t	M	René Arnoux	All
Shadow - Ford	DN9	Ford Cosworth DFV 3.0 V8	G	Jan Lammers	All
Shadow - Ford	DN9	Ford Cosworth DFV 3.0 V8	G	Elio de Angelis	All
Wolf - Ford	WR7-9	Ford Cosworth DFV 3.0 V8	G	James Hunt	1-7
Wolf - Ford	WR7-9	Ford Cosworth DFV 3.0 V8	G	Keke Rosberg	8-15
Ensign - Ford	N177 N179	Ford Cosworth DFV 3.0 V8	G	Derek Daly	1-7
Ensign - Ford	N177 N179	Ford Cosworth DFV 3.0 V8	G	Patrick Gaillard	8-12
Ensign - Ford	N177 N179	Ford Cosworth DFV 3.0 V8	G	Marc Surer	13-15
Merzario - Ford	A1B A2 A4	Ford Cosworth DFV 3.0 V8	G	Arturo Merzario	1-6, 8-15
Merzario - Ford	A1B A2 A4	Ford Cosworth DFV 3.0 V8	G	Gianfranco Brancatelli	7
Ligier - Ford	JS11	Ford Cosworth DFV 3.0 V8	G	Patrick Depailler	1-7
Ligier - Ford	JS11	Ford Cosworth DFV 3.0 V8	G	Jacky Ickx	8-15
Ligier - Ford	JS11	Ford Cosworth DFV 3.0 V8	G	Jacques Laffite	All
Williams - Ford	FW06 FW07	Ford Cosworth DFV 3.0 V8	G	Alan Jones	All
Williams - Ford	FW06 FW07	Ford Cosworth DFV 3.0 V8	G	Clay Regazzoni	All
Arrows - Ford	A1B A2	Ford Cosworth DFV 3.0 V8	G	Riccardo Patrese	All
Arrows - Ford	A1B A2	Ford Cosworth DFV 3.0 V8	G	Jochen Mass	All
Lotus - Ford	79	Ford Cosworth DFV 3.0 V8	G	Héctor Rebaque	1-6, 8-12
Rebaque - Ford	HR100	Ford Cosworth DFV 3.0 V8	G	Héctor Rebaque	13-15
Alfa Romeo	177 179	Alfa Romeo 115-12 3.0 F12 Alfa Romeo 1260 3.0 V12	G	Bruno Giacomelli	6, 8, 13, 15
Alfa Romeo	177 179	Alfa Romeo 115-12 3.0 F12 Alfa Romeo 1260 3.0 V12	G	Vittorio Brambilla	13-15
Kauhsen - Ford	WK	Ford Cosworth DFV 3.0 V8	G	Gianfranco Brancatelli	5-6
