Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	7-7	Yong-Hwan Jung	Submission (armbar)	Revolution 1 - The Return of Legend	1	0:46	Jeongseon County , South Korea
Win	6-7	Ryo Takigawa	Submission (punches)	K-1 Korea Max 2013	1	1:25	Seoul , South Korea
Win	5-7	Tarec Saffiedine	Decision (split)	Dream 12	3	5:00	Osaka , Japan
Loss	4-7	Jesse Taylor	TKO (ankle injury)	Dream 10	1	1:02	Saitama , Japan
Loss	4-6	Andrews Nakahara	TKO (punches)	Dream 6	2	0:30	Saitama , Japan
Loss	4-5	Gegard Mousasi	Decision (unanimous)	Dream 4	2	5:00	Yokohama , Japan
Win	4-4	Shungo Oyama	Decision (unanimous)	Dream 2	2	5:00	Saitama , Japan
Win	3-4	Fabio Silva	Submission (armbar)	Hero's 2007 in Korea	1	6:12	Seoul , South Korea
Win	2-4	Zelg Galešić	Submission (armbar)	Hero's 10	1	1:29	Yokohama , Japan
Win	1-4	Melvin Manhoef	Submission (armbar)	K-1 Dynamite!! USA HERO's	2	1:17	California , USA
Loss	0-4	Murilo Bustamante	Decision (unanimous)	PRIDE Bushido 13	2	5:00	Yokohama , Japan
Loss	0-3	Quinton Jackson	Decision (unanimous)	PRIDE 31 - Dreamers	3	5:00	Saitama , Japan
Loss	0-2	Makoto Takimoto	Decision (unanimous)	PRIDE 30 - Fully Loaded	3	5:00	Saitama , Japan
Loss	0-1	Kazushi Sakuraba	KO (punches)	PRIDE Total Elimination 2005	1	0:38	Osaka , Japan
