Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Toulon	106	16	90	30	1	7	873	495	+378
Racing Métro	99	13	86	30	1	8	683	426	+257
Mont-de-Marsan	89	7	82	30	3	8	582	488	+94
Lyon	83	15	68	30	0	13	604	424	+180
La Rochelle	81	13	68	30	0	13	540	443	+97
Béziers	81	9	72	30	2	11	556	505	+51
Agen	81	9	72	30	2	11	575	430	+145
Grenoble	77	9	68	30	2	12	506	454	+52
Oyonnax	73	9	64	30	0	14	612	545	+67
Pau	69	13	56	30	0	16	533	576	−43
Aurillac	66	10	56	30	0	16	609	691	−82
Bordeaux-Bègles	61	11	50	30	1	17	468	526	−58
Narbonne	57	7	50	30	1	17	503	626	−123
Tarbes	45	11	34	30	1	21	428	705	−277
Limoges	31	7	24	30	2	23	340	791	−451
Blagnac	27	7	20	30	2	24	469	756	−287
