Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
W284BC	104.7	Waldorf, Maryland	10	D	FCC
W253AZ	98.5	Creedmoor, North Carolina	40	D	FCC
W279BW	103.7	Roxboro, North Carolina	10	D	FCC
W273BD	102.5	Winston-Salem, North Carolina	4	D	FCC
W210BY	89.9	Aquia Harbour, Virginia	5	D	FCC
W274AV	102.7	Ashland, Virginia	14	D	FCC
W211CB	90.1	Berryville, Virginia	3	D	FCC
W245BG	96.9	Cave Spring, Virginia	10	D	FCC
W217BR	91.3	Chantilly, Virginia	10	D	FCC
W244BP	96.7	Charlottesville, Virginia	10	D	FCC
W278BF	103.5	Covington, Virginia	10	D	FCC
W237CA	95.3	Culpeper, Virginia	19	D	FCC
W282BH	104.3	Danville, Virginia	155	D	FCC
W267BA	101.3	Harrisonburg, Virginia	10	D	FCC
W286BN	105.1	Marion, Virginia	10	D	FCC
W295BF	106.9	Midlothian, Virginia	10	D	FCC
W293AS	106.5	Pulaski, Virginia	10	D	FCC
W235AI	94.9	Richmond, Virginia	16	D	FCC
W293AX	106.5	Roanoke, Virginia	10	D	FCC
W279AN	103.7	South Boston, Virginia	10	D	FCC
W298AZ	107.5	South Hill, Virginia	19	D	FCC
W218CK	91.5	Warrenton, Virginia	10	D	FCC
W262BK	100.3	Waynesboro, Virginia	7	D	FCC
W270BO	101.9	Wytheville, Virginia	10	D	FCC
