Name	Pos.	Height	Weight	Date of Birth	Club
Valentina Vorontsova	GK	m (ft 10in)	kg (lb)	1982-07-26	SKIF Moscow
Natalia Shepelina	D	m (ft 7in)	kg (lb)	1981-02-24	Uralochka Zlatoust
Ekaterina Salimova	CB	m (ft 10in)	kg (lb)	1982-04-02	Uralochka Zlatoust
Sofya Konukh	CB	m (ft 0in)	kg (lb)	1980-03-09	Kinef Kirishi
Elena Smurova	CF	m (ft 10in)	kg (lb)	1974-01-18	Diana
Galina Zlotnikova	GK	m (ft 9in)	kg (lb)	1984-04-24	Kinef Kirishi
Anastassia Zoubkova	CB	m (ft 8in)	kg (lb)	1980-02-03	Uralochka Zlatoust
Svetlana Bogdanova	D	m (ft 6in)	kg (lb)	1976-10-03	Kinef Kirishi
Tatiana Petrova	D	m (ft 4in)	kg (lb)	1973-05-22	Uralochka Zlatoust
Olga Turova	CF	m (ft 0in)	kg (lb)	1983-03-13	Kinef Kirishi
Ekaterina Shishova	CB	m (ft 8in)	kg (lb)	1978-09-13	Uralochka Zlatoust
Ekaterina Vasilieva	D	m (ft 8in)	kg (lb)	1976-05-30	SKIF Moscow
Maria Yaina	D	m (ft 9in)	kg (lb)	1982-01-25	SKIF Moscow
Head Coach: Alexander Kleymenov	Head Coach: Alexander Kleymenov	Head Coach: Alexander Kleymenov	Head Coach: Alexander Kleymenov	Head Coach: Alexander Kleymenov	Head Coach: Alexander Kleymenov
