Week	Date	Opponent	Result	Venue	Attendance
1	September 28, 1958	Chicago Bears	L 34-20	City Stadium	32,150
2	October 5, 1958	Detroit Lions	T 13-13	City Stadium	32,053
3	October 12, 1958	Baltimore Colts	L 24-17	Milwaukee County Stadium	24,553
4	October 19, 1958	at Washington Redskins	L 37-21	Griffith Stadium	25,228
5	October 26, 1958	Philadelphia Eagles	W 38-35	City Stadium	31,043
6	November 2, 1958	at Baltimore Colts	L 56-0	Memorial Stadium	51,333
7	November 9, 1958	at Chicago Bears	L 24-10	Wrigley Field	48,424
8	November 16, 1958	Los Angeles Rams	L 20-7	City Stadium	28,051
9	November 23, 1958	San Francisco 49ers	L 33-12	Milwaukee County Stadium	19,786
10	November 27, 1958	at Detroit Lions	L 24-14	Briggs Stadium	50,971
11	December 7, 1958	at San Francisco 49ers	L 48-21	Kezar Stadium	50,793
12	December 14, 1958	at Los Angeles Rams	L 34-20	Los Angeles Memorial Coliseum	54,634
