Team	Outgoing manager	Manner of departure	Date of vacancy	Incoming manager	Date of appointment	Position in table
Milton Keynes Dons	Paul Ince	Resigned	16 April 2010	Karl Robinson	10 May 2010	Pre-season
Plymouth Argyle	Paul Mariner	Became head coach	6 May 2010	Peter Reid	24 June 2010	Pre-season
Notts County	Steve Cotterill	End of contract	27 May 2010	Craig Short	4 June 2010	Pre-season
Southampton	Alan Pardew	Sacked	30 August 2010	Nigel Adkins	12 September 2010	21st
Notts County	Craig Short	Sacked	24 October 2010	Paul Ince	28 October 2010	16th
Bristol Rovers	Paul Trollope	Sacked	15 December 2010	Dave Penney	10 January 2011	21st
Walsall	Chris Hutchings	Sacked	4 January 2011	Dean Smith	21 January 2011	24th
Charlton Athletic	Phil Parkinson	Sacked	4 January 2011	Chris Powell	14 January 2011	5th
Peterborough United	Gary Johnson	Mutual consent	10 January 2011	Darren Ferguson	12 January 2011	7th
Bournemouth	Eddie Howe	Signed by Burnley	16 January 2011	Lee Bradbury	28 January 2011	4th
Sheffield Wednesday	Alan Irvine	Sacked	3 February 2011	Gary Megson	4 February 2011	12th
Brentford	Andy Scott	Sacked	3 February 2011	Nicky Forster	1 March 2011	19th
Swindon Town	Danny Wilson	Resigned	2 March 2011	Paul Hart	3 March 2011	22nd
Notts County	Paul Ince	Mutual consent	3 March 2011	Martin Allen	11 April 2011	19th
Bristol Rovers	Dave Penney	Sacked	7 March 2011	Paul Buckle	30 May 2011	23rd
