Name	Years	Gender	Locality	Authority	Decile
Amesbury School	1–6	Coed	Churton Park	State	10
Bellevue School	1–6	Coed	Newlands	State	8
Berhampore School	1–6	Coed	Berhampore	State	4
Brooklyn School	1–8	Coed	Brooklyn	State	10
Cardinal McKeefry School	1–8	Coed	Wilton	Integrated	10
Cashmere Avenue School	1–6	Coed	Khandallah	State	10
Central Regional Health School	–	Coed	Newtown	State	1
Churton Park School	1–6	Coed	Churton Park	State	10
Clifton Terrace Model School	1–8	Coed	Kelburn	State	10
Clyde Quay School	1–8	Coed	Mount Victoria	State	8
Crofton Downs Primary School	1–6	Coed	Wellington	State	10
Evans Bay Intermediate School	7–8	Coed	Kilbirnie	State	7
Greenacres School	1–6	Coed	Tawa	State	9
Hampton Hill School	1–6	Coed	Tawa	State	6
Hataitai School	1–8	Coed	Hataitai	State	10
He Huarahi Tamariki	–	–	Linden	State	1
Holy Cross School	1–8	Coed	Miramar	Integrated	5
Houghton Valley School	1–6	Coed	Houghton Bay	State	9
Island Bay School	1–6	Coed	Island Bay	State	10
Johnsonville School	1–6	Coed	Johnsonville	State	9
Kahurangi School	1–8	Coed	Strathmore	State	2
Karori Normal School	1–8	Coed	Karori	State	10
Karori West Normal School	1–8	Coed	Karori	State	8
Kelburn Normal School	1–8	Coed	Kelburn	State	10
Khandallah School	1–6	Coed	Khandallah	State	10
Kilbirnie School	1–6	Coed	Hataitai	State	10
Linden School	1–6	Coed	Tawa	State	4
Lyall Bay School	1–6	Coed	Lyall Bay	State	7
Makara Model School	1–8	Coed	Karori	State	7
Miramar Central School	1–6	Coed	Miramar	State	6
Miramar Christian School	1–8	Coed	Miramar	Integrated	7
Miramar North School	1–6	Coed	Miramar	State	8
Mt Cook School	1–8	Coed	Mount Cook	State	5
Newlands College	9–13	Coed	Newlands	State	9
Newlands Intermediate	7–8	Coed	Newlands	State	9
Newlands School	1–6	Coed	Newlands	State	8
Newtown School	1–6	Coed	Newtown	State	4
Ngaio School	1–6	Coed	Ngaio	State	10
Northland School	1–8	Coed	Northland	State	10
Onslow College	9–13	Coed	Johnsonville	State	10
Otari School	1–8	Coed	Wilton	State	10
Owhiro Bay School	1–6	Coed	Owhiro Bay	State	9
Paparangi School	1–6	Coed	Paparangi	State	9
Queen Margaret College	1–13	Girls	Thorndon	Private	10
Raroa Normal Intermediate	7–8	Coed	Johnsonville	State	10
Redwood School	1–6	Coed	Tawa	State	10
Rewa Rewa School	1–8	Coed	Newlands	State	8
Ridgway School	1–8	Coed	Ridgway	State	9
Rongotai College	9–13	Boys	Kilbirnie	State	6
Roseneath School	1–8	Coed	Roseneath	State	10
Sacred Heart Cathedral School	1–8	Coed	Thorndon	Integrated	9
Samuel Marsden Collegiate School	1–13	Girls	Karori	Private	10
Scots College	1–13	Boys	Miramar	Private	10
Seatoun School	1–8	Coed	Seatoun	State	10
South Wellington Intermediate	7–8	Coed	Newtown	State	7
St Anne's School	1–8	Coed	Newtown	Integrated	4
St Anthony's School	1–8	Coed	Seatoun	Integrated	8
St Benedict's School	1–8	Coed	Khandallah	Integrated	10
St Bernard's School	1–8	Coed	Brooklyn	Integrated	9
St Brigid's School	1–8	Coed	Johnsonville	Integrated	9
St Catherine's College	9–13	Girls	Kilbirnie	Integrated	6
St Francis De Sales School	1–8	Coed	Island Bay	Integrated	9
St Francis Xavier School	1–6	Coed	Tawa	Integrated	9
St Mark's Church School	1–8	Coed	Mount Victoria	Private	10
St Mary's College	9–13	Girls	Wellington City	Integrated	10
St. Patrick's College	9–13	Boys	Kilbirnie	Integrated	8
St Patrick's School	1–6	Coed	Kilbirnie	Integrated	5
St Teresa's School	1–8	Coed	Karori	Integrated	10
Tawa College	9–13	Coed	Tawa	State	9
Tawa Intermediate	7–8	Coed	Tawa	State	8
Tawa School	1–8	Coed	Tawa	State	8
Te Aro School	1–8	Coed	Wellington	State	6
Thorndon School	1–8	Coed	Thorndon	State	10
TKKM o Nga Mokopuna	1–13	Coed	Seatoun	State	8
Wadestown School	1–8	Coed	Wadestown	State	10
Wellington College	9–13	Boys	Wellington	State	10
Wellington East Girls' College	9–13	Girls	Mount Victoria	State	8
Wellington Girls' College	9–13	Girls	Thorndon	State	10
Wellington High School	9–13	Coed	Wellington	State	9
West Park School	1–6	Coed	Johnsonville	State	9
Worser Bay School	1–6	Coed	Miramar	State	10
