Week	Date	Opponent	Result	Attendance
1	September 29, 1957	at Pittsburgh Steelers	L 28-7	27,452
2	October 6, 1957	at Chicago Cardinals	W 37-14	18,278
3	October 13, 1957	New York Giants	L 24-20	39,086
4	October 20, 1957	Chicago Cardinals	L 44-14	23,159
5	October 27, 1957	at New York Giants	W 31-14	40,416
6	November 3, 1957	at Cleveland Browns	L 21-17	52,936
7	November 10, 1957	Baltimore Colts	L 21-17	33,149
8	November 17, 1957	Cleveland Browns	T 30-30	27,722
9	November 24, 1957	at Philadelphia Eagles	L 21-12	20,730
10	December 1, 1957	at Chicago Bears	W 14-3	39,148
11	December 8, 1957	Philadelphia Eagles	W 42-7	21,304
12	December 15, 1957	Pittsburgh Steelers	W 10-3	22,577
