Swedish title	Norwegian title	Translated title	Published	Pages	ISBN
Trolldom	Trolldom	Sorcery	1991	255	ISBN 951-636-087-4
Ljuset i dina ögon	Lyset i dine øyne	The Light in Your Eyes	1991	254	ISBN 951-636-088-2
När mörkret faller	Når mørket faller på	When Darkness Falls	1992	254	ISBN 951-636-091-2
Ondskans ansikte	Ondskapens ansikt	The Face of Evil	1992	254	ISBN 951-636-097-1
Eldprovet	Ildprøven	The Ordeal	1992	248	ISBN 951-636-101-3
Irrbloss	Alvelys	Will-o'-the-wisp	1992	252	ISBN 951-636-104-8
Värnlösa	Vergeløs	Defenceless	1993	250	ISBN 951-636-106-4
Ritten mot väster	Rittet mot vest	The Ride Westward	1993	250	ISBN 951-636-111-0
Eldsvärdet	Ildsverdet	The Fire Sword	1993	254	ISBN 951-636-113-7
Dvärgarop	Dvergemål	Dwarven Call	1993	252	ISBN 951-636-115-3
Skammens hus	Skammens Hus	House of Shame	1993	254	ISBN 951-636-119-6
Sagor om glömda riken	Sagn om glemte riker	Tale of Forgotten Realms	1993	252	ISBN 951-636-122-6
Klostret i Tårarnas Dal	Klosteret i Tårenes Dal	Monastery in the Valley of Tears	1994	253	ISBN 951-636-123-4
Frostens dotter	Frostens datter	Daughter of the Frost	1994	252	ISBN 951-636-125-0
In i det okända	Inn i det ukjente	Into the Unknown	1994	253	ISBN 951-636-127-7
