Week	Date	Opponent	Result	Attendance
1	September 28, 1952	at Cleveland Browns	L 37-7	57,832
2	October 3, 1952	Detroit Lions	L 17-14	42,743
3	October 12, 1952	at Green Bay Packers	W 30-28	21,693
4	October 19, 1952	at Detroit Lions	L 24-16	40,152
5	October 26, 1952	Chicago Bears	W 31-7	43,574
6	November 2, 1952	Dallas Texans	W 42-20	30,702
7	November 9, 1952	at Dallas Texans	W 27-6	10,000
8	November 16, 1952	at Chicago Bears	W 40-24	40,737
9	November 23, 1952	San Francisco 49ers	W 35-9	77,698
10	November 30, 1952	at San Francisco 49ers	W 34-21	48,731
11	December 7, 1952	Green Bay Packers	W 45-27	49,822
12	December 14, 1952	Pittsburgh Steelers	W 28-14	74,130
