Country	Year	Total	Hydroelectricity	Wind Power	Biomass and Waste	Solar
China	2011	797.4	687.1	73.2	34	3
European Union	2010	699.3	397.7	149.1	123.3	23.1
United States	2011	520.1	325.1	119.7	56.7	1.81
Brazil	2011	459.2	424.3	2.71	32.2	0.0002
Canada	2011	399.1	372.6	19.7	6.4	0.43
Russia	2010	166.6	163.3	0.004	2.8	0
India	2011	162	131	26	4	1
Germany	2012	136.1	21.2	45.3	40.9	28.0
Norway	2011	121.4	119.6	1.29	0.48	0.02
Japan	2011	116.4	82.5	4.35	23.1	3.80
Italy	2012	89.759	43.256	13.333	9.281 (2010)	18.637
