Week	Date	Opponent	Result	Game site	Kickoff ( ET )	NFL Recap	Record
1	2008-09-07	at Miami Dolphins	W 20–14	Dolphin Stadium	1:00 PM	Recap	1–0
2	2008-09-14	New England Patriots	L 10–19	The Meadowlands	4:15 PM	Recap	1–1
3	2008-09-22	at San Diego Chargers	L 29–48	Qualcomm Stadium	8:30 PM	Recap	1–2
4	2008-09-28	Arizona Cardinals	W 56–35	The Meadowlands	1:00 PM	Recap	2–2
5	Bye	Bye	Bye	Bye	Bye	Bye	Bye
6	2008-10-12	Cincinnati Bengals	W 26–14	The Meadowlands	1:00 PM	Recap	3–2
7	2008-10-19	at Oakland Raiders	L 13–16 (OT)	Oakland-Alameda County Coliseum	4:15 PM	Recap	3–3
8	2008-10-26	Kansas City Chiefs	W 28–24	The Meadowlands	1:00 PM	Recap	4–3
9	2008-11-02	at Buffalo Bills	W 26–17	Ralph Wilson Stadium	1:00 PM	Recap	5–3
10	2008-11-09	St. Louis Rams	W 47–3	The Meadowlands	1:00 PM	Recap	6–3
11	2008-11-13	at New England Patriots	W 34–31 (OT)	Gillette Stadium	8:15 PM	Recap	7–3
12	2008-11-23	at Tennessee Titans	W 34–13	LP Field	1:00 PM	Recap	8–3
13	2008-11-30	Denver Broncos	L 34–17	The Meadowlands	4:15 PM	Recap	8–4
14	2008-12-07	at San Francisco 49ers	L 24–14	Candlestick Park	4:05 PM	Recap	8–5
15	2008-12-14	Buffalo Bills	W 31–27	The Meadowlands	1:00 PM	Recap	9–5
16	2008-12-21	at Seattle Seahawks	L 13–3	Qwest Field	4:05 PM	Recap	9–6
17	2008-12-28	Miami Dolphins	L 24–17	The Meadowlands	4:15 PM	Recap	9–7
