Year	Award Ceremony	Category	Nominee	Result
2006	Tony Award	Best Revival of a Musical	Best Revival of a Musical	Nominated
2006	Tony Award	Best Performance by a Leading Actor in a Musical	Michael Cerveris	Nominated
2006	Tony Award	Best Performance by a Leading Actress in a Musical	Patti LuPone	Nominated
2006	Tony Award	Best Performance by a Featured Actor in a Musical	Manoel Felciano	Nominated
2006	Tony Award	Best Direction of a Musical	John Doyle	Won
2006	Tony Award	Best Orchestrations	Sarah Travis	Won
2006	Drama Desk Award	Outstanding Revival of a Musical	Outstanding Revival of a Musical	Won
2006	Drama Desk Award	Outstanding Actor in a Musical	Michael Cerveris	Nominated
2006	Drama Desk Award	Outstanding Actress in a Musical	Patti LuPone	Nominated
2006	Drama Desk Award	Outstanding Featured Actor in a Musical	Alexander Gemignani	Nominated
2006	Drama Desk Award	Outstanding Orchestrations	Sarah Travis	Won
2006	Drama Desk Award	Outstanding Director of a Musical	John Doyle	Won
2006	Drama Desk Award	Outstanding Set Design	John Doyle	Nominated
2006	Drama Desk Award	Outstanding Lighting Design	Richard G. Jones	Won
2006	Drama Desk Award	Outstanding Sound Design	Dan Moses Schreier	Nominated
