Rank	Name	Country	Birth	Death
1	Chau Sen Cocsal Chhum	Cambodia	1905	2009
2	Celâl Bayar	Turkey	1883	1986
3	Antoine Pinay	France	1891	1994
4	Kazi Lhendup Dorjee	Sikkim	1904	2007
5	Naruhiko Higashikuni	Japan	1887	1990
6	Willem Drees	Netherlands	1886	1988
7	Zhang Qun	Republic of China	1889	1990
8	Bernardino González Ruíz	Panama	1911	2012
9	Christopher Hornsrud	Norway	1859	1960
10	Hassan al-Hakim	Syria	1886	1988
11	Xenophon Zolotas	Greece	1904	2004
12	Mukhtar Mohamed Hussein	Somalia	1912	2012
13	Hastings Banda	Malawi	1898	1997
14	Johan Ferrier	Suriname	1910	2010
15	Gulzarilal Nanda	India	1898	1998
16	Abdul Momin	Brunei	1785	1885
17	Anthony Mamo	Malta	1909	2008
18	Michail Stasinopoulos	Greece	1903	2002
19	Clifford Campbell	Jamaica	1892	1991
20	Morarji Desai	India	1896	1995
21	Vo Chi Cong	Vietnam	1912	2011
22	Aden Abdullah Osman Daar	Somalia	1908	2007
23	Abdel Halim Muhammad	Sudan	1910	2009
24	Ċensu Tabone	Malta	1913	2012
25	V.K. Wellington Koo	Republic of China	1887	1985
26	Émile Reuter	Luxembourg	1874	1973
27	Pierre Harmel	Belgium	1911	2009
28	Joseph Paul-Boncour	France	1873	1972
29	Piet de Jong	Netherlands	1915	Alive
30	Isidro Ayora	Ecuador	1879	1978
31	Mamadou Dia	Senegal	1910	2009
32	Nouhak Phoumsavanh	Laos	1910	2008
33	Borys Mykolaiovych Martos	Ukraine	1879	1977
34	Artúr Görgey	Hungary	1818	1916
35	Venceslau Brás	Brazil	1868	1966
36	Ramaswamy Venkataraman	India	1910	2009
37	Dezső Pattantyús-Ábrahám	Hungary	1875	1973
38	Gabriel París Gordillo	Colombia	1910	2008
39	Émile Flach	Monaco	1860	1959
40	Howard Cooke	Jamaica	1915	Alive
41	Ignaz von Plener	Cisleithania	1810	1908
42	Domhnall Ua Buachalla	Ireland	1866	1963
43	Federico Páez	Ecuador	1876	1974
44	He Yingqin	Republic of China	1890	1987
45	Alfredo Solf y Muro	Peru	1872	1969
46	Armando Villanueva	Peru	1915	2013
47	Ion Gheorghe Maurer	Romania	1902	2000
48	Martial Célestin	Haiti	1913	2011
49	Gough Whitlam	Australia	1916	Alive
50	Gheorghe Apostol	Romania	1913	2010
51	Pierre Antoine Laloy	France	1749	1846
52	Nguyen Van Tam	South Vietnam	1893	1990
53	Konstantinos Kollias	Greece	1901	1998
54	Ramón José Velásquez	Venezuela	1916	Alive
55	Granito Pignatelli di Belmonte	Holy See	1851	1948
56	Khertek Anchimaa-Toka	Tuva	1912	2008
57	Do Muoi	Vietnam	1917	Alive
58	Camille Huysmans	Belgium	1871	1968
59	Yitzhak Shamir	Israel	1915	2012
60	Habib Bourguiba	Tunisia	1903	2000
61	Vyacheslav Molotov	Soviet Union	1890	1986
62	Cesáreo Octavio Deustua Escarza	Peru	1849	1945
63	Kenan Evren	Turkey	1917	Alive
64	Pedro Lascuráin	Mexico	1856	1952
64	Federico Chávez	Paraguay	1882	1978
66	Fumio Gotō	Japan	1884	1980
67	Mario Echandi Jiménez	Costa Rica	1915	2011
68	João Lins Cansanção	Brazil	1810	1906
69	Dom Mintoff	Malta	1916	2012
70	Hans Schaffner	Switzerland	1908	2004
71	Joaquín Balaguer	Dominican Republic	1906	2002
72	Tomás Romero Pereira	Paraguay	1886	1982
73	Émile Derlin Zinsou	Dahomey	1918	Alive
74	Juan José Estrada	Nicaragua	1872	1967
75	Pote Sarasin	Thailand	1905	2000
76	Tahar Ben Ammar	Tunisia	1889	1985
77	Yasuhiro Nakasone	Japan	1918	Alive
78	Paal Berg	Norway	1873	1968
79	Nelson Mandela	South Africa	1918	Alive
80	Ahmed Ben Bella	Algeria	1916	2012
81	Philippe Pétain	France	1856	1951
82	Léopold Sédar Senghor	Senegal	1906	2001
83	Petar Stambolić	Yugoslavia	1912	2007
84	Aníbal Portillo	El Salvador	1914	2010
85	Pak Song-chol	North Korea	1913	2008
86	Max Petitpierre	Switzerland	1899	1994
87	Konstantinos Mitsotakis	Greece	1918	Alive
88	Saeb Salam	Lebanon	1905	2000
89	Hassan ibn Yahya	North Yemen	1908	2003
90	Guillermo Tell Villegas Pulido	Venezuela	1854	1949
91	José Bustamante y Rivero	Peru	1894	1989
92	Patricio Aylwin	Chile	1918	Alive
93	Juliana	Netherlands	1909	2004
94	Emilio Aguinaldo	Philippines	1869	1964
95	Helmut Schmidt	West Germany	1918	Alive
96	Constantin Ion Parhon	Romania	1874	1969
97	Maarouf al-Dawalibi	Syria	1909	2004
98	Emiliano Chamorro Vargas	Nicaragua	1871	1966
99	Hyun Soong-jong	South Korea	1919	Alive
100	Martti Miettunen	Finland	1907	2002
