Date	Pages	Hero	Story	Story code
1987-07	26	Scrooge McDuck	Don Rosa	AR 102
1987-08	10	Scrooge McDuck	Don Rosa	AR 103
1987-10	10	Donald Duck	Don Rosa	AR 104
1987-12	10	Donald Duck	Don Rosa	AR 105
1987-12	26	Scrooge McDuck	Don Rosa	AR 106
1988-02	10	Donald Duck	Don Rosa	AR 108
1988-03	4	Donald Duck	Don Rosa	AR 109
1988-04	10	Donald Duck	Don Rosa	AR 110
1988-05	2	Scrooge McDuck	Gary Leach	AR 107
1988-06	28	Scrooge McDuck	Don Rosa	AR 113
1988-07	2	Donald Duck	Gary Leach	AR 116
1988-07	2	Scrooge McDuck	Gary Leach	AR 118
1988-08	10	Donald Duck	Don Rosa	AR 119
1988-10	18	Donald Duck	Don Rosa	AR 125
1988-11	12	Scrooge McDuck	Don Rosa	AR 128
1989-05	28	Donald Duck	Don Rosa	AR 130
1989-07	10	Scrooge McDuck	Don Rosa	AR 143
1989-08	28	Scrooge McDuck	Don Rosa	AR 145
1989-11	1/4	Scrooge McDuck	Don Rosa	ARC 241B
1990-03	3	Daisy Duck	Ruud Straatman	H 87112
1990-03	7	Donald Duck	Arno Buitink	H 87178
1990-03	10	Scrooge McDuck	Don Rosa	H 89068
1990-04	10	Donald Duck	Jan Kruse	H 85218
1990-04	1	Scrooge McDuck	Evert Geradts	H 87173
1990-05	8	Gyro Gearloose	Don Rosa, Carl Barks	H 89174
1990-09	4	Duck Tales	Don Rosa	K DTM 90i
1990-06	12	Donald Duck	Don Rosa	KD 0190
1990-11	10	Donald Duck	Don Rosa	D 90057
1991-01	13	Donald Duck	Don Rosa	D 90147
1991-01	20	Donald Duck	Don Rosa	D 90227
1991-03	30	Scrooge McDuck	Don Rosa	D 90314
1991-05	12	Donald Duck	Don Rosa	D 90161
1991-08	10	Donald Duck	Don Rosa	D 90345
1991-10	14	Scrooge McDuck	Don Rosa	D 91071
1991-10	27	Scrooge McDuck	Don Rosa	D 91192
1992-01	11	Donald Duck	Don Rosa	D 91076
1992-08	15	Scrooge McDuck	Don Rosa	D 91308
1992-08	28	Scrooge McDuck	Don Rosa	D 91411
1992-11	15	Scrooge McDuck	Don Rosa	D 92008
1993-01	15	Scrooge McDuck	Don Rosa	D 92083
1993-03	15	Scrooge McDuck	Don Rosa	D 92191
1993-05	12	Scrooge McDuck	Don Rosa	D 92273
1993-06	15	Scrooge McDuck	Don Rosa	D 92314
1993-07	24	Scrooge McDuck	Don Rosa	D 92514
1993-09	28	The Junior Woodchucks	Don Rosa	D 92380
1993-11	15	Scrooge McDuck	Don Rosa	D 93121
1994-02	12	Donald Duck	Don Rosa	D 93287
1994-03	15	Scrooge McDuck	Don Rosa	D 93227
1994-04	24	Scrooge McDuck	Don Rosa	D 93288
1994-05	19 (16)	Scrooge McDuck	Don Rosa	D 93488
1994-05	16	Donald Duck	Don Rosa	D 93574
1995-01	24	Scrooge McDuck	Don Rosa	D 94012
1995-03	24	Scrooge McDuck	Don Rosa	D 94066
1995-06	15	Scrooge McDuck	Don Rosa	D 91249
1995-09	24	Scrooge McDuck	Don Rosa	D 95044
1995-09	25 (24)	Scrooge McDuck	Don Rosa	D 94202
1995-10	1	Scrooge McDuck	Don Rosa	G TEM 9510
1995-10	24	Donald Duck	Don Rosa	D 94144
1996-05	24	Donald Duck	Don Rosa	D 95079
1996-06	28	Scrooge McDuck	Don Rosa	D 95153
1996-08	16	Scrooge McDuck	Don Rosa	D 96001
1996-12	24	Scrooge McDuck	Don Rosa	D 96089
1997-05	10	Donald Duck	Don Rosa	D 94121
1997-06	29 (28)	Scrooge McDuck	Don Rosa	D 96325
1997-07	24	Scrooge McDuck	Don Rosa	D 96203
1997-10	16	The Junior Woodchucks	Don Rosa	D 97052
1998	2	Donald Duck (not mentioned)	Nils Lid Hjort	HC SKATE 8A
1998-01	14	Donald Duck	Don Rosa	D 97437
1998-01	30	Scrooge McDuck	Don Rosa	D 96066
1998-05	24	Scrooge McDuck	Don Rosa	D 97346
1998-12	24	Scrooge McDuck	Don Rosa	D 98045
1999-03	24	Scrooge McDuck	Don Rosa	D 98202
1999-07	24	Scrooge McDuck	Don Rosa	D 98346
1999-10	12	Scrooge McDuck	Don Rosa	F PM 99001
1999-11	33	Scrooge McDuck	Don Rosa	D 99078
1999-11	1	Scrooge McDuck	Don Rosa	D 99078B
2000-05	12	Scrooge McDuck	Don Rosa	F PM 00201
2000-09	28	Donald Duck	Don Rosa	D 2000-002
2001-02	26	Scrooge McDuck	Don Rosa	F PM 01201
2001-05	17	Beagle Boys	Don Rosa	D 2000-191
2001-10	28	Scrooge McDuck	Don Rosa	D 2001-024
2002-03	13	Scrooge McDuck	Don Rosa	D 2001-095
2002-05	20	Gyro Gearloose	Don Rosa	D 2001-143
2002-12	25	Scrooge McDuck	Don Rosa	D 2002-033
2003-10	13	Donald Duck	Don Rosa	D 2003-017
2004-02	34	Scrooge McDuck	Don Rosa	D 2003-081
2004-06	26	Scrooge McDuck	Don Rosa	D 2003-235
2005-01	32	Donald Duck	Don Rosa	D 2004-032
2006-05	33	Scrooge McDuck	Don Rosa	D 2005-061
