Name	Tournaments	Pro Debut	Top division debut	Highest rank
Hoshiiwato	115	May 1970	July 1989	Maegashira 14
Kyokunankai	105	March 1993	September 2010	Maegashira 16
Yoshiazuma	93	January 1996	September 2011	Maegashira 12
Kotokasuga	91	March 1993	May 2008	Maegashira 7
Kototsubaki	89	March 1976	January 1991	Maegashira 3
Toyozakura	88	March 1989	November 2003	Maegashira 5
Takanomine	87	September 1974	March 1989	Maegashira 12
Kitazakura	86	March 1987	July 2001	Maegashira 9
Daimanazuru	85	May 1992	July 2006	Maegashira 16
Ōnohana	84	March 1974	March 1988	Maegashira 13
