No. in series	No. in season	Title	Directed by	Written by	Original air date
295	1	"Happy New Year"	Peter Fisk	Sarah Walker	8February2005
296	2	"Outside Looking In"	Catherine Millar	Toby Wallace	15February2005
297	3	"Sins of the Mothers"	Robert Marchand	John Banas	22February2005
298	4	"Begging For It"	Shawn Seet	Kevin Roberts	1March2005
299	5	"Lost and Found"	Catherine Millar	Elizabeth Coleman	8March2005
300	6	"Potential"	Jean-Pierre Mignon	Peter Neale	15March2005
301	7	"Letting Go"	Robert Marchand	Rick Held & Louise Crane-Bowes	29March2005
302	8	"Fractured"	Pino Amenta	Sean Nash	5April2005
303	9	"Funny Games"	Shawn Seet	Andrew Kelly	12April2005
304	10	"Boys will be Boys"	Jean-Pierre Mignon	Sarah Walker	19April2005
305	11	"Time Bomb"	Aarne Neeme	Fiona Kelly	26April2005
306	12	"While You Were Sleeping"	Pino Amenta	Bridie O'Neill	3May2005
307	13	"Echoes"	Catherine Roden	John Banas	10May2005
308	14	"Innocent until..."	Jean-Pierre Mignon	Susan Hore	17May2005
309	15	"False Convictions"	Bill Hughes	Sarah Walker	24May2005
310	16	"Maternal Instinct"	Jessica Hobbs	Toby Wallace	31May2005
311	17	"Double Lives"	Cameron Welsh	Peter Neale	7June2005
312	18	"New Beginnings"	Jean-Pierre Mignon	Sean Nash	14June2005
313	19	"Satisfaction"	Peter Fisk	Andrew Kelly	21June2005
314	20	"In the Name of Love"	Shawn Seet	Sarah Walker	28June2005
315	21	"Poison"	Cameron Welsh	Fiona Kelly	5July2005
316	22	"Right to Life"	Catherine Roden	Sam Meikle	12July2005
317	23	"Divide and Conquer"	Pino Amenta	John Banas	19July2005
318	24	"Love Me, Love Me Not"	Peter Fisk	Louise Crane-Bowes	2August2005
319	25	"Immortal"	Robert Marchand	Faith McKinnon	9August2005
320	26	"Moving On"	Mark Piper	Sarah Walker	9August2005
321	27	"Frozen Moments"	Pino Amenta	Louise Crane-Bowes	16August2005
322	28	"Room for Improvement"	Peter Fisk	Margaret Wilson	23August2005
323	29	"Requiem"	Robert Marchand	Peter Gawler	30August2005
324	30	"Spinning Out"	Mark Piper	Sean Nash	6September2005
325	31	"Honourable Things"	Tony Tilse	Chris Roache	13September2005
326	32	"A Lonely Road"	Aarne Neeme	Kevin Roberts	20September2005
327	33	"Time and Tide"	Lynn Hegarty	John Banas	27September2005
328	34	"One of Those Days"	Bill Hughes	Tim Gooding	4October2005
329	35	"Life's Lottery"	Jeffrey Walker	Sally Webb	11October2005
330	36	"Out Of Darkness"	Aarne Neeme	Katherine Thomson	18October2005
331	37	"Taking the Plunge"	Jean-Pierre Mignon	Charlie Ctrachan	25October2005
332	38	"Thicker than Water"	Bill Hughes	Margaret Wilson	1November2005
333	39	"Reckless"	Shawn Seet	Peter Gawler	8November2005
334	40	"Season of Change"	Cameron Welsh	Fiona Kelly	15November2005
