Res.	Record	Opponent	Method	Event	Round	Location
Win	20-10	Ilya Zelik	TKO (punches)	Trench Warz 11 - Redemption	2	Saipan , Northern Mariana Islands
Loss	19-10	Yoshihiro Koyama	TKO (punches)	Shooto - Revolutionary Exchanges 3	2	Tokyo , Japan
Loss	19-9	Kenichiro Togashi	Decision (majority)	Shooto - Shooto Tradition Final	3	Tokyo , Japan
Loss	19-8	Gilbert Melendez	Decision (unanimous)	Strikeforce: Playboy Mansion	3	Beverly Hills, California , United States
Loss	19-7	Joe Camacho	TKO	PXC 11 - No Turning Back	2	Guam
Win	19-6	Alexei Maligin	Submission (rear naked choke)	Kokoro - Kill Or Be Killed	1	Tokyo , Japan
Win	18-6	Toby Imada	TKO (punches)	FFCF 6 - Undisputed	1	Mangilao , Guam
Loss	17-6	Vitor Ribeiro	Submission (arm triangle choke)	Rumble on the Rock 7	3	Hawaii , United States
Win	17-5	Jason Dent	Decision	SB 35 - SuperBrawl 35	3	Hawaii , United States
Loss	16-5	Adam Lynn	Decision	FFCF 1 - Fury Full Contact Fighting 1	4	Guam
Loss	16-4	Dokonjonosuke Mishima	Decision (majority)	DEEP - 12th Impact	3	Tokyo , Japan
Win	16-3	Brian Gassaway	Decision (unanimous)	Shooto 2003 - 3/18 in Korakuen Hall	3	Tokyo , Japan
Win	15-3	Seichi Ikemoto	Decision (unanimous)	Shooto - To The Top Final Act	3	Tokyo , Japan
Win	14-3	Ray Cooper	Decision (unanimous)	Shooto - To The Top 6	3	Tokyo , Japan
Loss	13-3	Anderson Silva	Decision (unanimous)	Shooto - To The Top 2	3	Tokyo , Japan
Win	13-2	Dan Gilbert	Submission (rear naked choke)	Shooto - R.E.A.D. Final	1	Tokyo , Japan
Win	12-2	Thomas Denny	Decision (unanimous)	Shooto - R.E.A.D. 10	3	Tokyo , Japan
Loss	11-2	Hayato Sakurai	Decision (split)	Shooto - R.E.A.D. 2	3	Tokyo , Japan
Win	11-1	Angelo Sergio	Submission (punches)	VTJ 1999 - Vale Tudo Japan 1999	1	Tokyo , Japan
Win	10-1	Rhett Anthony	Submission (rear naked choke)	SB 14 - SuperBrawl 14	1	Guam
Win	9-1	Jutaro Nakao	Decision (unanimous)	Shooto - 10th Anniversary Event	3	Yokohama , Japan
Win	8-1	Hiroyuki Kojima	TKO (punches)	Shooto - Las Grandes Viajes 6	2	Tokyo , Japan
Win	7-1	Alex Cook	Decision (unanimous)	Shooto - Las Grandes Viajes 5	3	Tokyo , Japan
Win	6-1	Ben Hernandez	Submission (rear naked choke)	SB 7 - SuperBrawl 7	1	Guam
Win	5-1	Luke Ishizaki	Submission (armbar)	SB 7 - SuperBrawl 7	1	Guam
Win	4-1	Patrick Madayag	Submission (choke)	SB 7 - SuperBrawl 7	1	Guam
Win	3-1	Kohichi Tanaka	Technical Submission (armbar)	Shooto - Las Grandes Viajes 1	1	Tokyo , Japan
Loss	2-1	Jutaro Nakao	Submission (armbar)	Shooto - Reconquista 3	3	Tokyo , Japan
Win	2-0	Masato Fujiwara	Decision (unanimous)	Shooto - Gig	2	Tokyo , Japan
Win	1-0	Hiroyuki Kojima	Decision (unanimous)	Shooto - Reconquista 2	2	Tokyo , Japan
