Series #	Season #	Title	Original air date	Tape date
62	1	The Big Move: Part 1 (a.k.a.) The Unhappy Move	September 22, 1976	July 15, 1976
63	2	The Big Move: Part 2 (a.k.a.) The Unhappy Move	September 29, 1976	July 22, 1976
64	3	J.J. and the Older Woman	October 6, 1976	July 29, 1976
65	4	Michael the Warlord	October 13, 1976	August 5, 1976
66	5	Michael's Great Romance	October 20, 1976	September 9, 1976
67	6	Evans Versus Davis	October 27, 1976	October 14, 1976
68	7	J.J.'s New Career: Part 1	November 10, 1976	August 19, 1976
69	8	J.J.'s New Career: Part 2	November 17, 1976	August 26, 1976
70	9	Grandpa's Visit (a.k.a.) Thanksgiving in Paradise?	November 24, 1976	November 4, 1976
71	10	Rich Is Better Than Poor...Maybe?	December 8, 1976	September 2, 1976
72	11	Florida's Night Out	December 15, 1976	September 23, 1976
73	12	The Judy Cohen Story	December 22, 1976	October 14, 1976
74	13	The Comedian and the Loan Sharks	January 5, 1977	November 18, 1976
75	14	The Hustle	January 12, 1977	December 23, 1976
76	15	Thelma's African Romance: Part 1	January 19, 1977	December 9, 1976
77	16	Thelma's African Romance: Part 2	January 19, 1977	December 16, 1976
78	17	Willona's Surprise (a.k.a.) Dinner with My Ex	January 26, 1977	December 2, 1976
79	18	A Friend In Need	February 2, 1977	January 13, 1977
80	19	A Stormy Relationship	February 9, 1977	January 20, 1977
81	20	Florida and Carl	February 23, 1977	January 27, 1977
82	21	My Son, The Father	March 2, 1977	February 10, 1977
83	22	J.J.'s Business	March 9, 1977	February 17, 1977
84	23	Love Has a Spot On Its Lung: Part 1	March 23, 1977	February 24, 1977
85	24	Love Has a Spot On Its Lung: Part 2	March 30, 1977	March 3, 1977
