Rank	Matches as champion	Reigns as champion	Title matches won*	Title last held
1	103	20	86	28 March 2007
2	88	21	73	20 June 2000
3	70	12	57	15 October 2013
4	65	9	49	11 July 2010
5	50	6	41	23 February 2000
6	37	7	29	12 July 1998
7	36	9	27	17 June 2000
8	34	6	25	28 March 2001
9	30	7	28	6 February 2013
10	30	9	27	22 August 2007
11	27	7	17	10 September 2008
12	24	5	17	7 September 2010
13	23	5	15	31 March 2004
14	20	7	17	Current champions
15	16	2	12	16 June 1968
16	16	1	11	15 November 2011
17	14	7	10	26 June 1994
18	13	8	12	14 September 1988
19	13	3	8	31 January 1995
20	13	4	11	30 March 1982
21	13	1	10	23 January 2013
22	12	2	11	24 May 2008
23	11	2	7	5 December 1979
24	11	4	7	22 June 1982
25	10	4	8	23 May 2006
26	9	3	6	4 September 1985
27	8	4	5	14 October 1933
28	8	1	7	27 March 2005
29	8	1	7	8 October 2005
30	7	4	5	17 January 1990
31	6	1	5	4 September 1963
32	5	3	5	31 May 1995
33	5	2	3	29 May 2004
34	5	3	5	20 April 1994
35	5	2	4	7 May 1989
36	4	2	4	16 November 2005
37	3	2	2	4 June 1992
38	3	2	3	23 August 1989
39	3	1	2	22 August 1965
40	3	2	2	14 June 1992
41	2	1	2	24 March 2007
42	2	1	1	26 April 2000
43	2	1	1	17 October 2007
44	1	1	1	24 March 1963
45	1	1	1	18 October 2006
46	1	1	1	4 February 1995
47	1	1	1	18 June 1992
48	1	1	1	28 March 1963
