Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 2, 1984	at Chicago Bears	L 34-14	1:00	Soldier Field	58,789	0-1
2	September 9, 1984	at New Orleans Saints	L 17-13	1:00	Louisiana Superdome	54,686	0-2
3	September 16, 1984	Detroit Lions	W 21-17	1:00	Tampa Stadium	44,560	1-2
4	September 23, 1984	at New York Giants	L 17-14	1:00	Giants Stadium	72,650	1-3
5	September 30, 1984	Green Bay Packers	W 30-27 OT	4:00	Tampa Stadium	44,487	2-3
6	October 7, 1984	Minnesota Vikings	W 35-31	1:00	Tampa Stadium	47,405	3-3
7	October 14, 1984	at Detroit Lions	L 13-7 OT	1:00	Pontiac Silverdome	44,308	3-4
8	October 21, 1984	Chicago Bears	L 44-9	1:00	Tampa Stadium	60,003	3-5
9	October 28, 1984	at Kansas City Chiefs	L 24-20	1:00	Arrowhead Stadium	41,710	3-6
10	November 4, 1984	at Minnesota Vikings	L 27-24	1:00	Hubert H. Humphrey Metrodome	54,949	3-7
11	November 11, 1984	New York Giants	W 20-17	4:00	Tampa Stadium	46,534	4-7
12	November 18, 1984	at San Francisco 49ers	L 24-17	4:00	Candlestick Park	57,704	4-8
13	November 25, 1984	Los Angeles Rams	L 34-33	1:00	Tampa Stadium	42,242	4-9
14	December 2, 1984	at Green Bay Packers	L 27-14	1:00	Lambeau Field	46,800	4-10
15	December 9, 1984	Atlanta Falcons	W 23-6	1:00	Tampa Stadium	33,808	5-10
16	December 16, 1984	New York Jets	W 41-21	1:00	Tampa Stadium	43,817	6-10
