Province	Capital	Area (km²)	Population	Density	Map region
Dajabón	Dajabón	1020.73	62046	61	4
Duarte	San Francisco de Macorís	1605.35	283805	177	5
Espaillat	Moca	838.62	225091	268	8
Hermanas Mirabal	Salcedo	440.43	96356	219	21
La Vega	Concepción de la Vega	2287.24	385101	168	13
María Trinidad Sánchez	Nagua	1271.71	135727	119	14
Monseñor Nouel	Bonao	992.39	167618	169	15
Monte Cristi	San Fernando de Monte Cristi	1924.35	111014	58	16
Puerto Plata	San Felipe de Puerto Plata	1852.90	312706	168	20
Samaná	Santa Bárbara de Samaná	853.74	91875	108	22
Sánchez Ramírez	Cotuí	1196.13	151179	126	23
Santiago	Santiago de los Caballeros	2836.51	908250	320	28
Santiago Rodríguez	San Ignacio de Sabaneta	1111.14	59629	54	29
Valverde	Santa Cruz de Mao	823.38	158293	192	31
