Serial	Airborne Unit	Troop carrier Group	# of C-47s	UK Base	Drop Zone	Drop Zone Time
4	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	O	0121
5	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	N	0138
17	2d Bn 505th PIR	316th TCG	36	RAF Cottesmore	O	0151
18	3rd Bn 505th PIR 456th Para FA (-)	316th TCG	36	RAF Cottesmore	O	0157
6	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	T	0202
19	1st Bn 505th PIR HHC 505th Div HQ	315th TCG	48	RAF Spanhoe	O	0203
20	2d Bn 508th PIR	314th TCG	36	RAF Saltby	N	0208
21	HQ 508th PIR Co B 307th Engr Bn	314th TCG	24	RAF Saltby	N	0214
22	1st Bn 508th PIR	313th TCG	36	RAF Folkingham	N	0220
23	3rd Bn 508th PIR	313th TCG	36	RAF Folkingham	N	0226
24	2d Bn 507th PIR	61st TCG	36	RAF Barkston Heath	T	0232
25	3rd Bn 507th PIR	61st TCG	36	RAF Barkston Heath	T	0238
26	1st Bn 507th PIR	442d TCG	45	RAF Fulbeck	T	0244
