Rank	Rank w/o Hydropower	State	% Renewable	% Renewable w/o Hydro	Renewable electricity (GW•h)	Renewable electricity w/o Hydro (GW•h)	Total electricity (GW•h)
1	6	Idaho	87.5	14.9	14158	2408	16176
2	18	Washington	83.4	7.1	96745	8212	115974
3	10	Oregon	76.3	11.3	46058	6801	60372
4	3	South Dakota	73.0	23.9	8878	2914	12168
5	1	Maine	55.3	31.9	8322	4795	15049
6	21	Montana	45.4	4.6	12585	1281	27726
7	5	California	28.3	15.4	56969	31009	201341
8	2	Iowa	26.2	24.8	14928	14107	56919
9	16	Vermont	25.5	7.7	1711	516	6708
10	24	New York	22.1	3.8	30239	5181	136966
11	7	North Dakota	21.6	14.7	7800	5323	36179
12	50	Alaska	20.8	0.2	1451	17	6979
13	4	Minnesota	19.0	17.6	9999	9261	52560
14	12	Nevada	16.2	9.3	5760	3321	35566
15	8	Colorado	15.5	11.7	8282	6278	53594
16	17	New Hampshire	13.9	7.2	2677	1383	19270
17	11	Oklahoma	12.4	10.9	9667	8531	78267
18	46	Tennessee	11.7	1.4	9070	1058	77449
19	9	Kansas	11.6	11.6	5179	5179	44782
20	14	Wyoming	10.6	8.8	5289	4394	49811
21	13	Hawaii	10.0	9.1	1010	920	10075
22	23	Nebraska	8.2	3.9	2849	1342	34645
23	20	Wisconsin	8.1	5.0	5253	3233	64484
24	15	Texas	7.9	7.8	34207	33695	431017
25	19	New Mexico	7.6	7.0	2776	2575	36574
26	48	Arizona	7.3	1.2	8087	1358	110694
27	35	Alabama	6.8	2.1	10415	3258	152664
28	33	Maryland	6.7	2.3	2546	882	37815
29	25	Massachusetts	6.5	3.7	2291	1322	35397
30	32	Arkansas	5.9	2.6	3852	1684	65382
31	29	Utah	5.7	2.8	2251	1113	39649
32	39	North Carolina	5.1	2.1	5910	2393	116024
33	30	Georgia	4.6	2.7	5688	3357	122704
34	27	Virginia	4.6	3.2	3262	2255	70895
35	26	Michigan	4.5	3.3	4861	3556	108726
36	22	Illinois	4.3	4.3	8511	8413	197738
37	37	South Carolina	3.6	2.1	3445	2049	96510
38	42	West Virginia	3.6	1.8	2613	1286	73326
39	28	Indiana	3.5	3.1	3967	3511	114680
40	41	Connecticut	3.2	1.9	1160	688	35733
41	38	Pennsylvania	3.1	2.1	6987	4674	224714
42	49	Kentucky	3.0	0.4	2706	330	89819
43	34	Louisiana	2.8	2.2	2920	2240	103770
44	31	Mississippi	2.6	2.6	1414	1414	54193
45	45	Missouri	2.2	1.4	2028	1307	91985
46	36	Florida	2.2	2.1	4853	4699	220751
47	40	New Jersey	2.0	2.0	1284	1284	64092
48	47	Ohio	1.6	1.3	2091	1710	129307
49	43	Delaware	1.6	1.6	142	142	8808
