Round	Circuit/Location	Pole Position	Fastest Lap	Winning Driver	Winning Team	Highest Scoring Team	Winning Privateer
1	Mantorp Park	Robert Dahlgren	Robert Dahlgren	Robert Dahlgren	Polestar Racing	Flash Engineering	Johan Kristoffersson
2	Mantorp Park	Thomas Schie	Thed Björk	Richard Göransson	WestCoast Racing	Flash Engineering	Johan Kristoffersson
3	Karlskoga Motorstadion	Robin Rudholm *	Robin Rudholm	Robin Rudholm	WestCoast Racing	WestCoast Racing	Johan Kristoffersson
4	Karlskoga Motorstadion	Roger Eriksson	Robin Rudholm	Robin Rudholm	WestCoast Racing	WestCoast Racing	Viktor Hallrup
5	Göteborg City Race	Tommy Rustad *	Robert Dahlgren	Tommy Rustad	Polestar Racing	MA:GP/IPS	Andreas Simonsen
6	Göteborg City Race	Fredrik Ekblom	Robert Dahlgren	Tomas Engström	Engström Motorsport	MA:GP/IPS	Viktor Hallrup
7	Ring Knutstorp	Robert Dahlgren	Robin Rudholm	Robert Dahlgren	Polestar Racing	WestCoast Racing	Dick Sahlén
8	Ring Knutstorp	Roger Eriksson	Robin Rudholm	Jan Nilsson	Flash Engineering	WestCoast Racing	Dick Sahlén
9	Falkenbergs Motorbana	Tommy Rustad	Tommy Rustad	Tommy Rustad	Polestar Racing	WestCoast Racing	Johan Kristoffersson
10	Falkenbergs Motorbana	Tomas Engström	Thed Björk	Richard Göransson	WestCoast Racing	WestCoast Racing	Andreas Simonsen
11	Karlskoga Motorstadion	Robert Dahlgren	Jan Nilsson	Jan Nilsson	Flash Engineering	WestCoast Racing	Tony Johansson
12	Karlskoga Motorstadion	Patrik Olsson	Robert Dahlgren	Robert Dahlgren	Polestar Racing	WestCoast Racing	Dick Sahlén
13	Vålerbanen	Robert Dahlgren	Tommy Rustad	Tommy Rustad	Polestar Racing	Polestar Racing	Viktor Hallrup
14	Vålerbanen	Pontus Mörth	Thed Björk	Tommy Rustad	Polestar Racing	Polestar Racing	Dick Sahlén
15	Ring Knutstorp	Robert Dahlgren	Robert Dahlgren	Richard Göransson	WestCoast Racing	MA:GP/IPS	Viktor Hallrup
16	Ring Knutstorp	Patrik Olsson	Thed Björk	Johan Stureson	IPS Motorsport	MA:GP/IPS	Mikael Ohlsson
17	Mantorp Park	Robin Rudholm ♯	Robert Dahlgren	Tommy Rustad	Polestar Racing	Polestar Racing	Johan Kristoffersson
