Stadium	Club(s)	Division	City	Capacity	Opened
Blackbaud Stadium	Charleston Battery	USL Pro	Charleston , SC	5,113	1999
City Park Stadium	Westchester Flames	PDL	New Rochelle , NY	1,845	1970s
Seminole Soccer Complex (Sanford)	Central Florida Kraze	PDL	Lake Mary , FL	3,666	1995
Ezell Park	Nashville Metros	PDL	Nashville , TN	1,317	1950s
Highmark Stadium	Pittsburgh Riverhounds	USL Pro	Pittsburgh , PA	3,500	2013
Indiana Invaders Soccer Complex	Indiana Invaders	PDL	South Bend , IN	4,985	2004
Legion Stadium	Wilmington Hammerheads	USL Pro	Wilmington , NC	5,300	1930s?
Lusitano Stadium	Western Mass Pioneers	PDL	Ludlow , MA	3,000	1918
Macpherson Stadium	Carolina Dynamo	PDL	Browns Summit , NC	1,600	2002
Patriot Stadium	Chivas El Paso Patriots	PDL	El Paso , TX	3,000	2005
Sahlen's Stadium	Rochester Rhinos Western New York Flash	USL Pro NWSL	Rochester , NY	13,500	2006
Virginia Beach Sportsplex	Hampton Roads Piranhas	PDL	Virginia Beach , VA	10,000	1999
