Week	Date	Opponent	Result	Kickoff	Game site	Record	Attendance
Week	Date	Opponent	Result	Kickoff	Game site	Record	Attendance
HOF	August 9, 1999	Oakland Raiders	L 18-17	8:00 p.m.	Fawcett Stadium	0-1	45,449
1	Bye	Bye	Bye	Bye	Bye	Bye	Bye
2	August 21, 1999	Chicago Bears	L 38-24	7:30 p.m.	Soldier Field	0-2	48,381
3	August 28, 1999	San Diego Chargers	W 24-21	7:00 p.m.	Trans World Dome	1-2	47,882
4	September 2, 1999	Detroit Lions	W 17-6	6:30 p.m.	Pontiac Silverdome	2-2	43,578
Regular season	Regular season	Regular season	Regular season	Regular season	Regular season	Regular season	Regular season
1	September 12, 1999	Baltimore Ravens	W 27-10	12:00 p.m.	Trans World Dome	1-0	62,100
2	Bye	Bye	Bye	Bye	Bye	Bye	Bye
3	September 26, 1999	Atlanta Falcons	W 35-7	12:00 p.m.	Trans World Dome	2-0	63,253
4	October 3, 1999	Cincinnati Bengals	W 38-10	12:00 p.m.	Cinergy Field	3-0	45,481
5	October 10, 1999	San Francisco 49ers	W 42-20	12:00 p.m.	Trans World Dome	4-0	65,872
6	October 17, 1999	Atlanta Falcons	W 41-13	12:00 p.m.	Georgia Dome	5-0	51,973
7	October 24, 1999	Cleveland Browns	W 34-3	12:00 p.m.	Trans World Dome	6-0	65,866
8	October 31, 1999	Tennessee Titans	L 24-21	12:00 p.m.	Adelphia Coliseum	6-1	66,415
9	November 7, 1999	Detroit Lions	L 31-27	12:00 p.m.	Pontiac Silverdome	6-2	73,224
10	November 14, 1999	Carolina Panthers	W 35-10	12:00 p.m.	Trans World Dome	7-2	65,965
11	November 21, 1999	San Francisco 49ers	W 23-7	3:15 p.m.	3Com Park	8-2	68,193
12	November 28, 1999	New Orleans Saints	W 43-12	12:00 p.m.	Trans World Dome	9-2	65,864
13	December 5, 1999	Carolina Panthers	W 34-21	12:00 p.m.	Ericsson Stadium	10-2	62,285
14	December 12, 1999	New Orleans Saints	W 30-14	12:00 p.m.	Louisiana Superdome	11-2	46,838
15	December 19, 1999	New York Giants	W 31-10	12:00 p.m.	Trans World Dome	12-2	66,065
16	December 26, 1999	Chicago Bears	W 34-12	12:00 p.m.	Trans World Dome	13-2	65,941
17	January 2, 2000	Philadelphia Eagles	L 38-31	12:00 p.m.	Veterans Stadium	13-3	60,700
Postseason	Postseason	Postseason	Postseason	Postseason	Postseason	Postseason	Postseason
NFC Divisional	January 16, 2000	Minnesota Vikings	W 49-37	11:30 a.m.	Trans World Dome	14-3	66,194
NFC Championship	January 23, 2000	Tampa Bay Buccaneers	W 11-6	3:00 p.m.	Trans World Dome	15-3	66,496
Super Bowl XXXIV	January 30, 2000	Tennessee Titans	W 23-16	5:30p.m.	Georgia Dome	16-3	72,625
