Week	Issue Date	Artist	Single	Download	Title
1	January 8	Eric Prydz	" Call on Me "	No Available	No Available
2	January 15	Eric Prydz	" Call on Me "	No Available	No Available
3	January 22	Eric Prydz	" Call on Me "	No Available	No Available
4	January 29	Amel Bent	" Ma Philosophie "	No Available	No Available
5	February 5	Amel Bent	" Ma Philosophie "	No Available	No Available
6	February 12	Amel Bent	" Ma Philosophie "	No Available	No Available
7	February 19	Amel Bent	" Ma Philosophie "	No Available	No Available
8	February 26	Amel Bent	" Ma Philosophie "	No Available	No Available
9	March 5	Amel Bent	" Ma Philosophie "	No Available	No Available
10	March 12	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
11	March 19	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
12	March 26	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
13	April 2	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
14	April 9	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
15	April 16	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
16	April 23	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
17	April 30	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
18	May 7	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
19	May 14	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
20	May 21	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
21	May 28	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
22	June 4	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
23	June 11	Ilona Mitrecey	" Un Monde parfait "	No Available	No Available
24	June 18	Ilona Mitrecey	" Un Monde parfait "	Crazy Frog	Axel F
25	June 25	Crazy Frog	" Axel F "	Crazy Frog	Axel F
26	July 2	Crazy Frog	" Axel F "	Crazy Frog	Axel F
27	July 9	Crazy Frog	" Axel F "	Crazy Frog	Axel F
28	July 16	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
29	July 23	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
30	July 30	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
31	August 6	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
32	August 13	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
33	August 20	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
34	August 27	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
35	September 3	Crazy Frog	" Axel F "	James Blunt	" You're Beautiful "
36	September 10	Crazy Frog	" Axel F "	DHT	" Listen to Your Heart "
37	September 17	Crazy Frog	" Axel F "	DHT	" Listen to Your Heart "
38	24 September	Crazy Frog	" Popcorn "	Raphaël	"Caravane"
39	October 1	Crazy Frog	" Popcorn "	Crazy Frog	"Popcorn"
40	October 8	Crazy Frog	" Popcorn "	Bob Sinclar	" Love Generation "
41	October 15	Crazy Frog	" Popcorn "	Robbie Williams	" Tripping "
42	October 22	Crazy Frog	" Popcorn "	Robbie Williams	" Tripping "
43	October 29	Crazy Frog	" Popcorn "	Madonna	"Hung Up"
44	November 5	Crazy Frog	" Popcorn "	Madonna	"Hung Up"
45	November 12	Madonna	" Hung Up "	Madonna	"Hung Up"
46	November 19	Madonna	" Hung Up "	Madonna	"Hung Up"
47	November 26	Madonna	" Hung Up "	Madonna	"Hung Up"
48	December 3	Madonna	" Hung Up "	Madonna	"Hung Up"
49	December 10	Star Academy 5	" Santiano "	Madonna	"Hung Up"
50	December 17	Star Academy 5	" Santiano "	Madonna	"Hung Up"
51	December 24	Johnny Hallyday	" Mon Plus Beau Noël "	Madonna	"Hung Up"
52	December 31	Madonna	"Hung Up"	Madonna	"Hung Up"
