Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2 November 2007	Kings	80–96	Spurs	Kevin Martin (22)	17,072	0–2
3 November 2007	Kings	102–123	Mavericks	Kevin Martin (28)	20,343	0–3
6 November 2007	SuperSonics	98–104	Kings	Kevin Martin (31)	14,908	1–3
9 November 2007	Cavaliers	93–91	Kings	Kevin Martin (32)	15,293	1–4
10 November 2007	Timberwolves	93–100	Kings	Kevin Martin (29)	13,170	2–4
12 November 2007	Kings	93–117	Jazz	John Salmons (22)	19,911	2–5
14 November 2007	Kings	103–108	Timberwolves	Kevin Martin (22)	11,656	2–6
16 November 2007	Knicks	118–123	Kings	Kevin Martin (43)	12,549	3–6
18 November 2007	Pistons	95–105	Kings	Beno Udrih (23)	12,978	4–6
20 November 2007	Suns	100–98	Kings	Ron Artest (33)	13,598	4–7
21 November 2007	Kings	111–127	Suns	Francisco Garcia (31)	18,422	4–8
23 November 2007	Kings	84–87	Trail Blazers	Kevin Martin (21)	19,980	4–9
26 November 2007	Spurs	99–112	Kings	Beno Udrih (27)	12,587	5–9
