Date	Visitor	Score	Home	Record
November 14	Chicago Black Hawks	2–2	Toronto Maple Leafs	0–0–1
November 16	Chicago Black Hawks	4–4	Montreal Canadiens	0–0–2
November 19	Chicago Black Hawks	5–1	New York Americans	1–0–2
November 21	Ottawa Senators	6–5	Chicago Black Hawks	1–1–2
November 24	Detroit Cougars	0–4	Chicago Black Hawks	2–1–2
November 28	New York Rangers	3–2	Chicago Black Hawks	2–2–2
December 1	Boston Bruins	1–3	Chicago Black Hawks	3–2–2
December 5	Chicago Black Hawks	5–2	Pittsburgh Pirates	4–2–2
December 8	New York Americans	2–4	Chicago Black Hawks	5–2–2
December 12	Montreal Maroons	3–4	Chicago Black Hawks	6–2–2
December 15	Pittsburgh Pirates	1–3	Chicago Black Hawks	7–2–2
December 19	Chicago Black Hawks	3–4	Detroit Cougars	7–3–2
December 21	Chicago Black Hawks	1–4	Boston Bruins	7–4–2
December 22	Chicago Black Hawks	1–3	New York Rangers	7–5–2
December 24	Chicago Black Hawks	3–1	Ottawa Senators	8–5–2
December 26	Chicago Black Hawks	4–3	Montreal Maroons	9–5–2
December 29	Toronto Maple Leafs	4–3	Chicago Black Hawks	9–6–2
January 1	Montreal Canadiens	3–2	Chicago Black Hawks	9–7–2
January 5	Detroit Cougars	4–0	Chicago Black Hawks	9–8–2
January 9	Chicago Black Hawks	1–1	Detroit Cougars	9–8–3
January 12	New York Rangers	1–2	Chicago Black Hawks	10–8–3
January 14	Pittsburgh Pirates	2–6	Chicago Black Hawks	11–8–3
January 16	Boston Bruins	1–2	Chicago Black Hawks	12–8–3
January 19	Chicago Black Hawks	1–4	New York Rangers	12–9–3
January 21	Chicago Black Hawks	1–5	Boston Bruins	12–10–3
January 25	Chicago Black Hawks	5–2	Pittsburgh Pirates	13–10–3
January 28	Chicago Black Hawks	2–1	Ottawa Senators	14–10–3
January 30	Chicago Black Hawks	0–1	Montreal Canadiens	14–11–3
February 1	Chicago Black Hawks	0–6	Toronto Maple Leafs	14–12–3
February 2	Chicago Black Hawks	4–1	Detroit Cougars	15–12–3
February 6	Montreal Maroons	2–3	Chicago Black Hawks	16–12–3
February 16	Montreal Canadiens	2–1	Chicago Black Hawks	16–13–3
February 18	New York Americans	6–4	Chicago Black Hawks	16–14–3
February 20	Ottawa Senators	5–2	Chicago Black Hawks	16–15–3
February 23	Detroit Cougars	2–1	Chicago Black Hawks	16–16–3
February 25	Chicago Black Hawks	2–0	Montreal Maroons	17–16–3
February 27	Chicago Black Hawks	1–1	New York Rangers	17–16–4
March 2	Pittsburgh Pirates	0–3	Chicago Black Hawks	18–16–4
March 4	New York Rangers	2–2	Chicago Black Hawks	18–16–5
March 8	Chicago Black Hawks	4–3	Pittsburgh Pirates	19–16–5
March 9	Chicago Black Hawks	2–5	New York Americans	19–17–5
March 11	Chicago Black Hawks	3–4	Boston Bruins	19–18–5
March 13	Boston Bruins	2–3	Chicago Black Hawks	20–18–5
March 18	Toronto Maple Leafs	1–4	Chicago Black Hawks	21–18–5
