Runs	Wicket	Partnerships	Versus	Venue	Date
244	2nd	SC Ganguly / Sachin Tendulkar	Namibia	Pietermaritzburg	23-02-2003
234*	3rd	DR Martyn / RT Ponting	India	Johannesburg	23-03-2003
228	2nd	JF Kloppenburg / KJJ van Noortwijk	Namibia	Bloemfontein	03-03-2003
170	2nd	ST Jayasuriya / HP Tillakaratne	New Zealand	Bloemfontein	10-02-2003
166*	3rd	GW Flower / CB Wishart	Namibia	Harare	10-02-2003
153	1st	V Sehwag / SR Tendulkar	Sri Lanka	Johannesburg	10-03-2003
152	1st	MS Atapattu / PA de Silva	South Africa	Durban	03-03-2003
142*	1st	HH Gibbs / G Kirsten	Kenya	Potchefstroom	12-02-2003
140*	2nd	NJ Astle / SP Fleming	South Africa	Johannesburg	16-02-2003
129*	4th	R Dravid / M Kaif	New Zealand	Centurion	14-03-2003
Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com
