Driver	Constructor	Laps	Time/Retired	Grid
Jacky Ickx	Brabham - Ford	90	1:59:25.7	1
Jack Brabham	Brabham - Ford	90	+ 46.2	6
Jochen Rindt	Lotus - Ford	90	+ 52.0	3
Jean-Pierre Beltoise	Matra - Ford	89	+ 1 Lap	2
Bruce McLaren	McLaren - Ford	87	+ 3 Laps	9
Johnny Servoz-Gavin	Matra - Ford	84	+ 6 Laps	15
Pete Lovely	Lotus - Ford	81	+ 9 Laps	16
Bill Brack	BRM	80	Not Classified	18
Graham Hill	Lotus - Ford	42	Engine	7
Jo Siffert	Lotus - Ford	40	Halfshaft	8
John Miles	Lotus - Ford	40	Gearbox	11
Pedro Rodriguez	Ferrari	37	Oil Pressure	13
Jackie Stewart	Matra - Ford	32	Collision	4
Al Pease	Eagle - Climax	22	Disqualified	17
John Surtees	BRM	15	Engine	14
Piers Courage	Brabham - Ford	13	Fuel Leak	10
John Cordts	Brabham - Climax	10	Oil Leak	19
Denny Hulme	McLaren - Ford	9	Distributor	5
Jackie Oliver	BRM	2	Engine	12
Silvio Moser	Brabham - Ford	0	Accident	20
