Nationality	No [a ]	Pos [a ]	From	School/club	Pts [b ]	Reb [b ]	Ast [b ]
United States	4	F	2013 2013	Connecticut	209	196	36
France	21	C	2008 2008	Hyères-Toulon ( France )	70	30	3
United States	12	G	2005 2005	Virginia	49	29	37
United States	35	F	2005 2005	Villanova	111	47	7
United States	15	G/F	2005 2005	Michigan State	305	102	53
United States	1 / 23	G	2006 2006	Kentucky	540	165	177
United States	14	G	2008 2008	Texas	850	133	250
United States	35	F	2006 2006	Maryland	36	33	2
U.S. Virgin Islands	19	G	2009 2009	FIU	587	179	113
Democratic Republic of the Congo	0	C	2012 2012	Democratic Republic of the Congo	713	950	62
United States	10	G/F	2004 2004	Kentucky	1,055	332	180
United States	11	G	2008 2008	Eastern Michigan	185	34	96
Slovenia	7	C	2004 2004	Union Olimpija ( Slovenia )	2,245	1,199	160
United States	1	F	2008 2008	DePaul	4	12	1
United States	4	F	2009 2009	Xavier	861	398	115
United States	54	F	2010 2010	Glynn Academy ( GA )	524	450	43
United States	12	G	2008 2008	Michigan State	144	24	28
United States	12	G	2005 2005	Minnesota	49	29	37
United States	13 / 33	G	2005 2005	Notre Dame	2,923	831	302
United States	6	C	2009 2009	Dominguez High School ( CA )	333	320	16
United States	11	G	2010 2010	Kansas	17	5	8
United States	44	F	2011 2011	Villanova	198	88	13
United States	33	F/C	2007 2007	Alabama	120	62	13
France	32	F/C	2008 2008	ÉB Pau-Orthez ( France )	1,160	453	362
Senegal	7	C	2009 2009	Oak Hill Academy ( VA )	213	396	36
United States	4	F	2007 2007	Boston College	530	345	100
United States	2	F	2004 2004	Fresno State	1,206	642	166
United States	20	G	2005 2005	North Carolina	4,343	1,078	2,127
United States	8	G	2012 2012	Connecticut	840	130	141
United States	24	F/C	2006 2006	Georgetown	113	80	10
United States	1	G	2004 2004	Syracuse	706	203	367
United States	33	C	2013 2012	North Carolina	216	290	29
United States	15	G	2009 2010	Duke	2651	737	417
Argentina	5	F	2006 2006	Unicaja Málaga ( Spain )	510	175	30
United States	11	G	2012 2012	Colorado	164	38	41
United States	1 / 15	C	2006 2006	UCLA	275	174	19
United States	5	G	2004 2004	Arizona State	144	19	24
United States	5	F	2008 2008	Michigan	171	72	24
United States	0	G	2010 2011	Saint Louis	114	32	28
United States	1	F	2009 2010	Butler ( KS )	2758	670	499
United States	2	G	2009 2009	Arkansas	29	12	9
United States	43	F	2008 2008	Tulane	0	0	0
United States	27	F/C	2008 2008	St. Joseph's	12	12	0
United States	33	F	2005 2005	Georgia	799	376	63
United States	24	F	2004 2004	UCLA	688	164	61
United States	14	F	2013 2013	Kentucky	704	455	117
United States	22	G	2004 2004	Stanford	1,945	508	1,497
United States	2	G	2009 2009	Texas A&M	16	1	3
United States	2	G	2010 2010	Peoria High School ( IL )	479	149	164
United States	1	F	2009 2009	Kansas State	86	33	13
United States	42	F	2006 2005	North Carolina	698	411	98
United States	5	F	2010 2010	California Fresno State	174	199	164
United States	0	G	2007 2007	North Carolina	407	158	344
United States	11	F	2013 2014	Duke	242	188	71
United States	6 / 13	C	2007 2007	Kentucky	674	500	74
United States	9	F	2011 2011	Meridian Community College	18	22	5
United States	35	F	2006 2006	Gonzaga	1,116	302	201
United States	22	C	2011 2013	Ohio State	1,170	664	138
United States	22	G	2009 2009	Shaw	454	98	84
Mexico	21	F	2010 2011	Oklahoma	127	94	32
United States	50	C/F	2004 2004	Connecticut	4,630	3,516	298
United States	5	G	2012 2014	Arkansas	151	22	34
United States	10	C	2011 2011	Minnesota	9	24	0
Serbia	10	F	2009 2009	KK FMP ( Serbia )	267	105	43
United States	42	C/F	2010 2010	Wyoming	144	117	16
United States	23	G	2007 2007	Michigan State	2,050	499	294
United States	21	G/F	2004 2004	Michigan	566	309	124
United States	4	G	2004 2004	Missouri	864	182	115
United States	31	F/C	2004 2004	California	79	122	8
United States	7	G	2012 2012	Nevada	876	169	230
United States	44	G	2008 2008	Virginia	56	19	17
United States	32	G	2004 2004	Marshall	28	14	3
United States	8	G	2004 2004	Michigan State	291	49	57
United States	0	F	2004 2004	Ball State	105	116	28
Sweden	43	C	2012 2013	Vanderbilt	472	150	63
United States	41	G	2010 2011	LSU	38	15	24
United States	12	F	2009 2010	LSU	1,100	636	106
United States	43	C	2005 2005	Connecticut	589	439	83
United States	15	G	2011 2011	Connecticut	2,254	517	760
United States	3	F	2004 2004	Alabama	5,302	2,242	823
United States	21	F	2012 2012	Syracuse	190	89	25
United States	8	F	2011 2012	Indiana	595	315	62
United States	55	F/C	2004 2004	Georgetown	42	34	1
United States	88	F	2007 2007	Providence	12	3	1
United States	55	F/C	2011 2012	Virginia Military Institute	420	144	99
