City	Country	Airport	IATA	ICAO
Bangkok	Thailand	Suvarnabhumi Airport	BKK	VTBS
Barisal	Bangladesh	Barisal Airport	BZL	VGBR
Chittagong	Bangladesh	Shah Amanat International Airport ^^	CGP	VGEG
Cox's Bazar	Bangladesh	Cox's Bazar Airport	CXB	VGCB
Dhaka	Bangladesh	Shahjalal International Airport ^	DAC	VGHS
Dubai	United Arab Emirates	Dubai International Airport	DXB	OMDB
Ishwardi (Begins 18 November 2013)	Bangladesh	Ishwardi Airport *	IRD	VGIS
Jeddah	Saudi Arabia	King Abdulaziz International Airport	JED	OEJN
Jessore	Bangladesh	Jessore Airport	JSR	VGJR
Kathmandu	Nepal	Tribhuvan International Airport	KTM	VNKT
Kolkata	India	Netaji Subhash Chandra Bose International Airport	CCU	VECC
Kuala Lumpur	Malaysia	Kuala Lumpur International Airport	KUL	WMKK
London	United Kingdom	Gatwick Airport #	LGW	EGKK
Muscat	Oman	Muscat International Airport	MCT	OOMS
Rajshahi	Bangladesh	Shah Makhdum Airport	RJH	VGRJ
Saidpur	Bangladesh	Saidpur Airport	SPD	VGSD
Singapore	Singapore	Singapore Changi Airport	SIN	WSSS
Sylhet	Bangladesh	Osmani International Airport	ZYL	VGSY
